upstream_class	downstream_class	relationship
scientific_input	analysis_output	generated_from
analysis_code	analysis_output	generated_from
scientific_input	integrated_figure	generated_from
analysis_output	integrated_figure	visualized_as
figure_constructor	integrated_figure	generated_from
scientific_input	methods_provenance	traced_by
analysis_code	methods_provenance	traced_by
analysis_output	methods_provenance	traced_by
figure_constructor	methods_provenance	traced_by
integrated_figure	figure_manifest	indexed_by
figure_manifest	figure_semantics	scopes
integrated_figure	figure_semantics	described_by
figure_manifest	figure_legend	scopes
integrated_figure	figure_legend	described_by
figure_manifest	methods_provenance	scopes
integrated_figure	methods_provenance	traced_by
figure_semantics	claim_graph	supports
figure_semantics	results_text	described_in
figure_legend	results_text	described_in
claim_graph	results_text	constrains
claim_graph	aid_text	constrains
results_text	aid_text	contextualizes
methods_provenance	methods_spine	summarized_by
methods_spine	methods_text	expressed_as
integrated_figure	rendered_manuscript	embedded_in
figure_manifest	rendered_manuscript	consumed_by
figure_legend	rendered_manuscript	consumed_by
results_text	rendered_manuscript	consumed_by
methods_text	rendered_manuscript	consumed_by
aid_text	rendered_manuscript	consumed_by
manuscript_renderer	rendered_manuscript	generates
figure_constructor	validation_record	validated_by
integrated_figure	validation_record	validated_by
methods_provenance	validation_record	validated_by
rendered_manuscript	validation_record	validated_by
validation_record	seal_record	supports
