ploidy,G0,R1,R2,R3,Day,Dilution Factor,Average,CellLine,G
NA,0,5159.48,5974.79,5568.45,0,10,5568,MDA-MB-231,0.006643222
NA,0.1,78317.5,84218.7,80531.7,0,10,81023,MDA-MB-231,0.099106304
NA,0.25,207688,227627,211219,0,10,215511,MDA-MB-231,0.26390956
NA,0.5,514414,540595,504299,0,10,519769,MDA-MB-231,0.636749132
NA,1,82998,91295.3,84879.4,0,100,86391,MDA-MB-231,1.056846096
NA,5,398927,431669,412862,0,100,414486,MDA-MB-231,5.077343059
NA,25,370786,376247,391189,0,500,379407,MDA-MB-231,23.23743491
low,0,3483.56,3956.28,3742.52,1,10,3727,MDA-MB-231,0.004388328
low,0.1,24167.3,27368.3,27549.3,1,10,26362,MDA-MB-231,0.032124388
low,0.25,81358.4,74309.9,76938.3,1,10,77536,MDA-MB-231,0.09483319
low,0.5,285036,314873,290848,1,10,296919,MDA-MB-231,0.363667001
low,1,60474.1,65226,61053.7,1,100,62251,MDA-MB-231,0.761037587
low,5,344791,380916,351803,1,100,359170,MDA-MB-231,4.399497489
low,25,328898,355363,339001,1,500,341087,MDA-MB-231,20.88955706
high,0,3879.92,3727.08,3497.57,1,10,3702,MDA-MB-231,0.004356553
high,0.1,25654.8,24189.7,26017.8,1,10,25287,MDA-MB-231,0.030808056
high,0.25,83330.6,78445.6,82282.6,1,10,81353,MDA-MB-231,0.099511055
high,0.5,304549,298098,352609,1,10,318419,MDA-MB-231,0.390012822
high,1,67988.5,63551.4,68141.3,1,100,66560,MDA-MB-231,0.813841964
high,5,394047,358157,419047,1,100,390417,MDA-MB-231,4.782400094
high,25,362731,338661,364530,1,500,355307,MDA-MB-231,21.7608207
low,0,3071.32,2883.63,2895.22,2,10,2950,MDA-MB-231,0.003435702
low,0.1,6483.47,6668.67,6302.26,2,10,6485,MDA-MB-231,0.007767197
low,0.25,13603.4,14999.9,13558.1,2,10,14054,MDA-MB-231,0.017042295
low,0.5,53462.6,55732.2,58915.4,2,10,56037,MDA-MB-231,0.068488432
low,1,32360.2,31590.7,32469.5,2,100,32140,MDA-MB-231,0.39205396
low,5,327950,358198,346636,2,100,344261,MDA-MB-231,4.216805797
low,25,338050,360055,351408,2,500,349838,MDA-MB-231,21.42569259
