ploidy,G0,R1,R2,R3,Day,Dilution Factor,Average,CellLine,G
NA,0,4565.06,4820.66,4460.69,0,10,4615,SUM-159-chem,0.008091459
NA,0.1,59455.8,62865.1,59412,0,10,60578,SUM-159-chem,0.083330048
NA,0.25,154835,172576,159819,0,10,162410,SUM-159-chem,0.220239044
NA,0.5,349841,387046,380574,0,10,372487,SUM-159-chem,0.502678037
NA,1,60224.7,65047.8,63141,0,100,62805,SUM-159-chem,0.863239696
NA,5,303505,329964,320549,0,100,318006,SUM-159-chem,4.294308053
NA,25,300687,317452,305346,0,500,307828,SUM-159-chem,20.78736972
low,0,3956.47,3802.87,3542.81,1,10,3767,SUM-159-chem,0.006951245
low,0.1,35269.8,36112,33299.7,1,10,34894,SUM-159-chem,0.048799345
low,0.25,83701.5,90310.9,92149.6,1,10,88721,SUM-159-chem,0.12116708
low,0.5,205133,221995,215802,1,10,214310,SUM-159-chem,0.290016239
low,1,40031.6,43187.8,42001,1,100,41740,SUM-159-chem,0.580038845
low,5,236484,259831,243404,1,100,246573,SUM-159-chem,3.333923784
low,25,221849,251537,238218,1,500,237201,SUM-159-chem,16.03962989
high,0,3506.47,3055.23,3130.14,1,10,3231,SUM-159-chem,0.006229582
high,0.1,26495.2,23853.2,24646.9,1,10,24998,SUM-159-chem,0.035495429
high,0.25,67308.3,56092.7,60220.3,1,10,61207,SUM-159-chem,0.084176338
high,0.5,178233,144859,156539,1,10,159877,SUM-159-chem,0.216833541
high,1,39507,37045.8,39078.2,1,100,38544,SUM-159-chem,0.537063801
high,5,251940,235914,264529,1,100,250794,SUM-159-chem,3.390677695
high,25,243850,236678,261463,1,500,247330,SUM-159-chem,16.72052894
low,0,3696.65,3658.31,3946.35,2,10,3767,SUM-159-chem,0.006950869
low,0.1,21594.7,20274.3,17665.3,2,10,19845,SUM-159-chem,0.028566558
low,0.25,51056.1,45529.4,37217.2,2,10,44601,SUM-159-chem,0.061850055
low,0.5,142789,130558,119742,2,10,131030,SUM-159-chem,0.17804961
