CellLine,Ploidy,G0,Day,Dilution Factor,R1,R2,R3,R4
SUM-159-fuse,low,0.1,0,1000,LO,LO,,
SUM-159-fuse,low,0.5,0,1000,LO,LO,,
SUM-159-fuse,low,1,0,1000,25,26,26,26
SUM-159-fuse,low,5,0,1000,87,87,85,90
SUM-159-fuse,low,25,0,1000,409,379,368,367
SUM-159-fuse,high,0.1,0,1000,LO,LO,,
SUM-159-fuse,high,0.5,0,1000,LO,LO,,
SUM-159-fuse,high,1,0,1000,23,23,24,24
SUM-159-fuse,high,5,0,1000,86,86,88,87
SUM-159-fuse,high,25,0,1000,408,397,415,420
SUM-159-fuse,low,0.1,1,1000,LO,LO,,
SUM-159-fuse,low,0.5,1,1000,LO,LO,,
SUM-159-fuse,low,1,1,1000,21,21,22,21
SUM-159-fuse,low,5,1,1000,80,80,79,80
SUM-159-fuse,low,25,1,1000,402,415,402,385
SUM-159-fuse,high,0.1,1,1000,LO,LO,,
SUM-159-fuse,high,0.5,1,1000,LO,LO,,
SUM-159-fuse,high,1,1,1000,LO,LO,LO,LO
SUM-159-fuse,high,5,1,1000,74,70,72,70
SUM-159-fuse,high,25,1,1000,349,382,381,394
SUM-159-fuse,low,0.1,2,1000,LO,LO,,
SUM-159-fuse,low,0.5,2,1000,LO,LO,,
SUM-159-fuse,low,1,2,1000,LO,LO,,
SUM-159-fuse,low,5,2,1000,67,71,69,66
SUM-159-fuse,low,25,2,1000,392,381,369,369
SUM-159-fuse,high,0.1,2,1000,LO,LO,,
SUM-159-fuse,high,0.5,2,1000,LO,LO,,
SUM-159-fuse,high,1,2,1000,LO,LO,,
SUM-159-fuse,high,5,2,1000,42,45,47,47
SUM-159-fuse,high,25,2,1000,366,368,364,369
SUM-159-fuse,low,0.1,3,1000,LO,LO,,
SUM-159-fuse,low,0.5,3,1000,LO,LO,,
SUM-159-fuse,low,1,3,1000,LO,LO,,
SUM-159-fuse,low,5,3,1000,49,49,41,52
SUM-159-fuse,low,25,3,1000,367,381,372,389
SUM-159-fuse,high,0.1,3,1000,LO,LO,,
SUM-159-fuse,high,0.5,3,1000,LO,LO,,
SUM-159-fuse,high,1,3,1000,LO,LO,,
SUM-159-fuse,high,5,3,1000,20,20,20,21
SUM-159-fuse,high,25,3,1000,333,323,336,336
