ploidy,G0,R1,R2,R3,Day,Dilution Factor,Average,CellLine,G
NA,0,104700,108300,105500,0,10,106166.6667,SUM-159-fuse,0.003629713
NA,0.1,1207000,1241000,1267000,0,10,1238333.333,SUM-159-fuse,0.075605623
NA,0.25,3024000,3300000,3270000,0,10,3198000,SUM-159-fuse,0.200188686
NA,0.5,5838000,5948000,5970000,0,10,5918666.667,SUM-159-fuse,0.373151259
NA,1,2000000,2091000,2183000,0,100,2091333.333,SUM-159-fuse,1.298339034
NA,5,7221000,7229000,7287000,0,100,7245666.667,SUM-159-fuse,4.575134246
NA,25,7105000,7132000,7134000,0,500,7123666.667,SUM-159-fuse,22.48787228
low,0,397300,410600,424700,1,10,410866.6667,SUM-159-fuse,0.023000589
low,0.1,930300,975200,1048000,1,10,984500,SUM-159-fuse,0.059468525
low,0.25,2087000,2151000,2255000,1,10,2164333.333,SUM-159-fuse,0.134474776
low,0.5,4651000,4655000,4679000,1,10,4661666.667,SUM-159-fuse,0.293239244
low,1,1827000,1825000,1819000,1,100,1823666.667,SUM-159-fuse,1.1281737
low,5,7158000,7100000,7161000,1,100,7139666.667,SUM-159-fuse,4.507746231
low,25,7253000,7041000,7032000,1,500,7108666.667,SUM-159-fuse,22.44019208
high,0,167600,244000,248600,1,10,220066.6667,SUM-159-fuse,0.010870746
high,0.1,678200,649300,636600,1,10,654700,SUM-159-fuse,0.038501952
high,0.25,1699000,1616000,1554000,1,10,1623000,SUM-159-fuse,0.100060268
high,0.5,3985000,3812000,3647000,1,10,3814666.667,SUM-159-fuse,0.239392406
high,1,1351000,1337000,1254000,1,100,1314000,SUM-159-fuse,0.804160256
high,5,7492000,7360000,7279000,1,100,7377000,SUM-159-fuse,4.658627573
high,25,7640000,7630000,7629000,1,500,7633000,SUM-159-fuse,24.10687993
low,0,125500,118300,113900,2,10,119233.3333,SUM-159-fuse,0.004460408
low,0.1,242400,233400,245400,2,10,240400,SUM-159-fuse,0.01216341
low,0.25,501700,459200,479100,2,10,480000,SUM-159-fuse,0.027395644
low,0.5,1257000,1144000,1143000,2,10,1181333.333,SUM-159-fuse,0.071981928
low,1,765900,771600,767500,2,100,768333.3333,SUM-159-fuse,0.457260317
low,5,6672000,6643000,6605000,2,100,6640000,SUM-159-fuse,4.190090147
low,25,6812000,6838000,6941000,2,500,6863666.667,SUM-159-fuse,21.66141549
high,0,109900,112300,111700,2,10,111300,SUM-159-fuse,0.003956058
high,0.1,105300,97720,105000,2,10,102673.3333,SUM-159-fuse,0.00340763
high,0.25,183200,161600,150800,2,10,165200,SUM-159-fuse,0.007382675
high,0.5,520300,354100,391600,2,10,422000,SUM-159-fuse,0.023708375
high,1,306700,275500,312900,2,100,298366.6667,SUM-159-fuse,0.158485592
high,5,6829000,6909000,6592000,2,100,6776666.667,SUM-159-fuse,4.276974066
high,25,7499000,7515000,7483000,2,500,7499000,SUM-159-fuse,23.68093682
low,0,48610,47170,47900,3,10,47893.33333,SUM-159-fuse,-7.49321E-05
low,0.1,52010,51690,63530,3,10,55743.33333,SUM-159-fuse,0.000424121
low,0.25,63260,56030,87120,3,10,68803.33333,SUM-159-fuse,0.001254392
low,0.5,81950,71280,135600,3,10,96276.66667,SUM-159-fuse,0.003000971
low,1,130600,112200,137300,3,100,126700,SUM-159-fuse,0.049350914
low,5,5253000,5115000,5391000,3,100,5253000,SUM-159-fuse,3.308324327
low,25,6887000,6586000,6958000,3,500,6810333.333,SUM-159-fuse,21.49188589
high,0,81060,79520,80490,3,10,80356.66667,SUM-159-fuse,0.001988879
high,0.1,32610,30910,31270,3,10,31596.66667,SUM-159-fuse,-0.00111097
high,0.25,27380,24650,25450,3,10,25826.66667,SUM-159-fuse,-0.00147779
high,0.5,39130,30560,27760,3,10,32483.33333,SUM-159-fuse,-0.001054601
high,1,73400,65050,58160,3,100,65536.66667,SUM-159-fuse,0.010467181
high,5,4179000,4198000,3808000,3,100,4061666.667,SUM-159-fuse,2.550950849
high,25,7446000,7424000,7466000,3,500,7445333.333,SUM-159-fuse,23.51034766
