"figure","panel","subpanel_png","width_px","height_px","width_in","height_in","order"
"Figure 1","a","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_1_a.png",2520,1242,7,3.45,1
"Figure 1","b","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_1_b.png",727,2023,2.02,5.62,2
"Figure 1","c","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_1_c.png",712,622,1.98,1.73,3
"Figure 1","d","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_1_d.png",1007,622,2.8,1.73,4
"Figure 1","e","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_1_e.png",856,1339,2.38,3.72,5
"Figure 1","f","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_1_f.png",856,1339,2.38,3.72,6
"Figure S1","a","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s1_a.png",2520,2466,7,6.85,1
"Figure S2","a","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s2_a.png",1242,846,3.45,2.35,1
"Figure S2","b","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s2_b.png",1242,594,3.45,1.65,2
"Figure S2","c","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s2_c.png",1206,972,3.35,2.7,3
"Figure S2","d","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s2_d.png",1206,972,3.35,2.7,4
"Figure S2","e","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s2_e.png",1206,827,3.35,2.3,5
"Figure S2","f","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s2_f.png",1206,827,3.35,2.3,6
"Figure S2","g","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s2_g.png",2448,468,6.8,1.3,7
"Figure 2","a","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_2_a.png",2520,737,7,2.05,1
"Figure 2","b","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_2_b.png",2520,954,7,2.65,2
"Figure 2","c","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_2_c.png",2520,1062,7,2.95,3
"Figure S3","a","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s3_a.png",2520,1530,7,4.25,1
"Figure S4","a","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s4_a.png",2520,2951,7,8.2,1
