"model_id","model_alias","pareto_rank","metric","cell_line","glucose_mM","delta_log_lik","n_wells","glucose_label"
"1R_1P_0W_C0_M1","1R",1,"cell_area","MCF10A",0,-15.3662899999999,2,"0.00"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","MCF10A",0,-4.76736999999997,2,"0.00"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","MCF10A",0,39.9475199999999,2,"0.00"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","MCF10A",0,-7.52082000000001,2,"0.00"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","MCF10A",0,0.558359999999993,2,"0.00"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","MCF10A",0,-1.72182999999995,2,"0.00"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","MCF10A",0,23.56035,2,"0.00"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","MCF10A",0,50.37086,2,"0.00"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","MCF10A",0,9.05126999999999,2,"0.00"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","MCF10A",0,37.63322,2,"0.00"
"1R_1P_0W_C0_M1","1R",1,"cell_area","MDA-MB-231",0,-0.593900000000076,2,"0.00"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","MDA-MB-231",0,-3.43673999999999,2,"0.00"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","MDA-MB-231",0,0.775480000000016,2,"0.00"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","MDA-MB-231",0,8.50745999999998,2,"0.00"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","MDA-MB-231",0,0.936319999999967,2,"0.00"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","MDA-MB-231",0,-6.56192000000004,2,"0.00"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","MDA-MB-231",0,-4.81550999999996,2,"0.00"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","MDA-MB-231",0,-4.74439999999998,2,"0.00"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","MDA-MB-231",0,1.78701000000001,2,"0.00"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","MDA-MB-231",0,-9.99079,2,"0.00"
"1R_1P_0W_C0_M1","1R",1,"cell_area","SNU668",0,-8.02766000000003,2,"0.00"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","SNU668",0,-3.40057999999999,2,"0.00"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","SNU668",0,-25.94893,2,"0.00"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","SNU668",0,1.29482999999999,2,"0.00"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","SNU668",0,-1.84156000000002,2,"0.00"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","SNU668",0,-16.4597,2,"0.00"
