"metric","metric_label","model_id","model_alias","pareto_rank","line_id","cell_line","parameter","parameter_label","baseline_metric","elevated_metric","metric_delta","baseline_parameter","elevated_parameter","log2_elevated_vs_baseline","fit_id","best_start"
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,1,"MCF10A","ae[1]","v1",0,1,1,3.01159843804646e-05,4.57724919549056e-05,0.603951421488608,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,1,"MCF10A","ah[1]","K1",0,1,1,0.121872440610939,0.161387047063599,0.405152870669021,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,1,"MCF10A","Y_R[1]","y1",0,1,1,1837.1736313808,1047.25705839376,-0.810872374242302,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,1,"MCF10A","m","m",0,1,1,0.016415653567611,0.012259448985703,-0.421178053071158,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,2,"MDA-MB-231","ae[1]","v1",0,0.33,0.33,7.75613024734986e-05,8.90515671028941e-05,0.19930396909124,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,2,"MDA-MB-231","ah[1]","K1",0,0.33,0.33,0.0827937834099096,0.0908334006996228,0.133700447320777,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,2,"MDA-MB-231","Y_R[1]","y1",0,0.33,0.33,694.793892991534,577.170350480477,-0.267587883499959,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,2,"MDA-MB-231","m","m",0,0.33,0.33,0.0316250277787943,0.0287204427465707,-0.138988757513482,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,3,"SNU668","ae[1]","v1",0,1,1,6.95078831906518e-05,0.000105643202093385,0.603951421488608,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,3,"SNU668","ah[1]","K1",0,1,1,0.0165188768580725,0.0218747794297658,0.405152870669021,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,3,"SNU668","Y_R[1]","y1",0,1,1,663.856206624546,378.422641317541,-0.810872374242301,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,3,"SNU668","m","m",0,1,1,0.00892414036543143,0.00666467790031348,-0.421178053071157,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,4,"SUM-159-chem","ae[1]","v1",0,1,1,6.06329772036485e-05,9.21544660866623e-05,0.603951421488608,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,4,"SUM-159-chem","ah[1]","K1",0,1,1,0.0945069691105541,0.125148890062632,0.405152870669021,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,4,"SUM-159-chem","Y_R[1]","y1",0,1,1,503.162042212709,286.821012027608,-0.810872374242302,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,4,"SUM-159-chem","m","m",0,1,1,0.0118155647089303,0.0088240356797127,-0.421178053071157,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,5,"SUM-159-fuse","ae[1]","v1",0,1,1,4.43299833578574e-05,6.73759748635296e-05,0.603951421488608,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,5,"SUM-159-fuse","ah[1]","K1",0,1,1,0.0313841293046966,0.0415597810937127,0.405152870669021,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,5,"SUM-159-fuse","Y_R[1]","y1",0,1,1,1947.32506781047,1110.04745954189,-0.810872374242302,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_0W_C0_M1","1R",1,5,"SUM-159-fuse","m","m",0,1,1,0.0608678505309136,0.0454569966026473,-0.421178053071158,"all_lines__1r_1p_0w_c0_m1",1
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,1,"MCF10A","ae[1]","v1",0,1,1,3.12193774249195e-05,4.83407453150877e-05,0.630797949213019,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,1,"MCF10A","ah[1]","K1",0,1,1,0.152979156331152,0.201710665980732,0.398952275585408,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,1,"MCF10A","Y_R[1]","y1",0,1,1,2591.40971917196,1720.09320060272,-0.591250396011035,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,1,"MCF10A","m","m",0,1,1,0.0157636829275965,0.0126801467898434,-0.314033189638251,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,2,"MDA-MB-231","ae[1]","v1",0,0.33,0.33,7.66812502902106e-05,8.85834498548674e-05,0.208163323240295,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,2,"MDA-MB-231","ah[1]","K1",0,0.33,0.33,0.0828141531860082,0.0907269777116074,0.131654250943184,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,2,"MDA-MB-231","Y_R[1]","y1",0,0.33,0.33,684.973108437675,598.327228947698,-0.195112630683641,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,2,"MDA-MB-231","m","m",0,0.33,0.33,0.0305969424927372,0.0284761980679706,-0.103630952580623,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,3,"SNU668","ae[1]","v1",0,1,1,7.43726393360067e-05,0.000115160170160313,0.630797949213019,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,3,"SNU668","ah[1]","K1",0,1,1,0.042900559979421,0.0565665331926869,0.398952275585408,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,3,"SNU668","Y_R[1]","y1",0,1,1,936.668775177567,621.730164659037,-0.591250396011035,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,3,"SNU668","m","m",0,1,1,0.00871695243493631,0.00701182819666928,-0.314033189638251,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,4,"SUM-159-chem","ae[1]","v1",0,1,1,6.35063831784574e-05,9.83346289494462e-05,0.630797949213019,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,4,"SUM-159-chem","ah[1]","K1",0,1,1,0.107380513705829,0.141586575925869,0.398952275585408,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,4,"SUM-159-chem","Y_R[1]","y1",0,1,1,531.800625358602,352.991899732435,-0.591250396011035,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,4,"SUM-159-chem","m","m",0,1,1,0.0110391146780542,0.00887975197106965,-0.314033189638251,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,5,"SUM-159-fuse","ae[1]","v1",0,1,1,3.93637709142026e-05,6.09516967140426e-05,0.630797949213019,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,5,"SUM-159-fuse","ah[1]","K1",0,1,1,0.0358481147674946,0.0472675315861483,0.398952275585408,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,5,"SUM-159-fuse","Y_R[1]","y1",0,1,1,2348.83525884414,1559.08019028528,-0.591250396011035,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","1R_1P_1W_C0_M0","1R,W(m)",2,5,"SUM-159-fuse","m","m",0,1,1,0.0591489242489542,0.0475787952208211,-0.314033189638251,"all_lines__1r_1p_1w_c0_m0",12
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,1,"MCF10A","ae[1]","v1",0,1,1,3.03551646690241e-05,4.47227727033752e-05,0.559067635082857,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,1,"MCF10A","ah[1]","K1",0,1,1,0.137549599951751,0.163275299314929,0.247354609249792,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,1,"MCF10A","Y_R[1]","y1",0,1,1,1873.58418106141,1164.53447601262,-0.686047448993229,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,1,"MCF10A","m","m",0,1,1,0.0736641452897667,0.0684739974154946,-0.105406346659273,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,2,"MDA-MB-231","ae[1]","v1",0,0.33,0.33,6.69326321562925e-05,7.60633810936498e-05,0.184492319577342,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,2,"MDA-MB-231","ah[1]","K1",0,0.33,0.33,0.0794872498046335,0.0841142646960448,0.0816270210524312,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,2,"MDA-MB-231","Y_R[1]","y1",0,0.33,0.33,1015.85352530304,868.318808033039,-0.226395658167766,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,2,"MDA-MB-231","m","m",0,0.33,0.33,0.0529845878207626,0.0517223804452545,-0.0347840943975599,"all_lines__2r_1p_0w_c0_m1",35
