"package_id"	"operation"	"elapsed_seconds"	"details"
"FG4_posterior_size_context"	"load_inputs"	7.464	"Loaded canonical posterior parameter RDS files, posterior QC, optimization assessment, seven stan_data RDS files, and the 20260721 area summary."
"FG4_posterior_size_context"	"transform_posterior"	0.013	"Reduced all-line and SUM-159-fuse-excluded posterior draws to state summaries and paired high-minus-low effects for five accepted model structures."
"FG4_posterior_size_context"	"transform_area_context"	0.048	"Computed unpaired baseline high-minus-low log2 segmented-area-q50 contrasts and conservative empirical envelopes in memory; volume proxy uses area_ratio^(3/2)."
"FG4_posterior_size_context"	"transform_figure_4"	0.273	"Recomputed global-z PCoA, posterior displacement ellipses, exact line/ploidy/model distances, and signed parameter contributions from current no-SUM-equivalent posterior data."
"FG4_posterior_size_context"	"transform_figure_s10"	0.617	"Built size-context effects from current no-SUM posterior plus canonical area ratios, all-line sensitivity, and current posterior-QC inventory."
"FG4_posterior_size_context"	"transform_figure_s13"	3.902	"Replaced unavailable five-LOO NUTS evidence with five current single-line posteriors; cells show +/0/- model counts and median posterior effect."
"FG4_posterior_size_context"	"render_figure_4"	0.748	"Rendered 7.00 x 9.25 inch PNG at 360 dpi."
"FG4_posterior_size_context"	"render_figure_s10"	0.492	"Rendered 7.00 x 9.25 inch PNG at 360 dpi."
"FG4_posterior_size_context"	"render_figure_s13"	0.129	"Rendered 4.20 x 3.30 inch PNG at 360 dpi."
"FG4_posterior_size_context"	"render_all"	1.37	"Rendered the three final composites directly from in-memory plot objects."
"FG4_posterior_size_context"	"total"	14.736	"Complete FG4 current-data rebuild; no intermediate artifacts persisted."
