batch_id,replicate_well,cell_line,experiment,batch_display,n_ploidy_values,n_G0_values,ploidy_raw,G0_mM,n_images,first_hour,last_hour,plate_row,plate_col,ploidy_state,n_alive_cells,n_area_images_24_48h,area_first_hour,area_last_hour,n_alive_cells_with_nucleus,median_segmented_area_px,median_nuclear_area_px
fuse_gluccell_C00,B2,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,0.1,72,8,144,B,2,low,2710,16,24,48,2710,1666,189
fuse_gluccell_C00,B3,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,0.5,72,8,144,B,3,low,4591,16,24,48,4589,2070,227
fuse_gluccell_C00,B4,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,1,72,8,144,B,4,low,5159,16,24,48,5159,1988,226
fuse_gluccell_C00,B5,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,5,72,8,144,B,5,low,5319,16,24,48,5319,1794,217
fuse_gluccell_C00,B6,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,25,72,8,144,B,6,low,4989,16,24,48,4987,1808,221
fuse_gluccell_C00,B7,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,0.1,72,8,144,B,7,high,2116,16,24,48,2116,1459.5,215
fuse_gluccell_C00,B8,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,0.5,72,8,144,B,8,high,4535,16,24,48,4535,1434,225
fuse_gluccell_C00,B9,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,1,72,8,144,B,9,high,6825,16,24,48,6825,1319,223
fuse_gluccell_C00,B10,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,5,72,8,144,B,10,high,7608,16,24,48,7608,1257,214
fuse_gluccell_C00,B11,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,25,72,8,144,B,11,high,8392,16,24,48,8392,1226,216
fuse_gluccell_C00,C2,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,0.1,72,8,144,C,2,low,3278,16,24,48,3278,1672,183
fuse_gluccell_C00,C3,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,0.5,72,8,144,C,3,low,4486,16,24,48,4486,1983.5,219
fuse_gluccell_C00,C4,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,1,72,8,144,C,4,low,5307,16,24,48,5307,1979,228
fuse_gluccell_C00,C5,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,5,72,8,144,C,5,low,6396,16,24,48,6395,1781,216
fuse_gluccell_C00,C6,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,25,72,8,144,C,6,low,5985,16,24,48,5984,1793,219
fuse_gluccell_C00,C7,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,0.1,72,8,144,C,7,high,2766,16,24,48,2765,1404,206
fuse_gluccell_C00,C8,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,0.5,72,8,144,C,8,high,5252,16,24,48,5249,1364.5,219
fuse_gluccell_C00,C9,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,1,72,8,144,C,9,high,7825,16,24,48,7824,1269,220
fuse_gluccell_C00,C10,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,5,72,8,144,C,10,high,8748,16,24,48,8746,1206,210
fuse_gluccell_C00,C11,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,25,72,8,144,C,11,high,8125,16,24,48,8124,1233,217
fuse_gluccell_C00,D2,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,0.1,72,8,144,D,2,low,3254,16,24,48,3253,1704.5,183
fuse_gluccell_C00,D3,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,0.5,72,8,144,D,3,low,4819,16,24,48,4818,1978,217
fuse_gluccell_C00,D4,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,1,72,8,144,D,4,low,5937,16,24,48,5937,1915,226
fuse_gluccell_C00,D5,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,5,72,8,144,D,5,low,6231,16,24,48,6231,1785,217
fuse_gluccell_C00,D6,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,25,72,8,144,D,6,low,5060,16,24,48,5060,1827,219
fuse_gluccell_C00,D7,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,0.1,72,8,144,D,7,high,2774,16,24,48,2773,1475,212
fuse_gluccell_C00,D8,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,0.5,72,8,144,D,8,high,5080,16,24,48,5080,1394,220
fuse_gluccell_C00,D9,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,1,72,8,144,D,9,high,7606,16,24,48,7606,1328,224
fuse_gluccell_C00,D10,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,5,72,8,144,D,10,high,9189,16,24,48,9188,1215,211
fuse_gluccell_C00,D11,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,25,72,8,144,D,11,high,7311,16,24,48,7311,1246,215
fuse_gluccell_C00,E2,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,0.1,72,8,144,E,2,low,3561,16,24,48,3561,1658,180
fuse_gluccell_C00,E3,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,0.5,72,8,144,E,3,low,4890,16,24,48,4887,2011,221
fuse_gluccell_C00,E4,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,1,72,8,144,E,4,low,5752,16,24,48,5751,1954,226
fuse_gluccell_C00,E5,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,5,72,8,144,E,5,low,6127,16,24,48,6127,1786,217
fuse_gluccell_C00,E6,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,25,72,8,144,E,6,low,5506,16,24,48,5506,1820.5,219
fuse_gluccell_C00,E7,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,0.1,72,8,144,E,7,high,2610,16,24,48,2609,1459,209
fuse_gluccell_C00,E8,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,0.5,72,8,144,E,8,high,5327,16,24,48,5327,1395,222
fuse_gluccell_C00,E9,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,1,72,8,144,E,9,high,7315,16,24,48,7314,1349,223
fuse_gluccell_C00,E10,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,5,72,8,144,E,10,high,9248,16,24,48,9248,1198,209
fuse_gluccell_C00,E11,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,4N,25,72,8,144,E,11,high,8733,16,24,48,8733,1184,211
fuse_gluccell_C00,F2,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,0.1,72,8,144,F,2,low,3506,16,24,48,3506,1633.5,178
fuse_gluccell_C00,F3,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,0.5,72,8,144,F,3,low,4526,16,24,48,4526,2046,220
fuse_gluccell_C00,F4,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,1,72,8,144,F,4,low,5914,16,24,48,5913,1934,226
fuse_gluccell_C00,F5,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,5,72,8,144,F,5,low,6422,16,24,48,6422,1790,216
fuse_gluccell_C00,F6,SUM-159-fuse,C00-IncucyteRawDataLiveDead-varyGlucose,SUM-159-fuse / GlucCell batch (C00),1,1,2N,25,72,8,144,F,6,low,5875,16,24,48,5874,1760,217
