context,G0_mM,ploidy_state,n_cells,bin_left_px,bin_right_px,metric,fraction_cells,median_px
C00 fuse,0.1,low,1732,1140.62492385132,1301.02521691083,cell,0.0874614957329698,1664
C00 fuse,0.1,low,44,305.99496872072,349.025487895958,cell,0.002221885572893,1664
C00 fuse,0.1,low,55,398.107170553497,454.090961097248,cell,0.00277735696611625,1664
C00 fuse,0.1,low,339,673.862716803094,768.624610039774,cell,0.0171186183911529,1664
C00 fuse,0.1,low,601,768.624610039774,876.712387296869,cell,0.030348937029743,1664
C00 fuse,0.1,low,1815,2202.20194998738,2511.88643150958,cell,0.0916527798818361,1664
C00 fuse,0.1,low,2296,1301.02521691083,1483.98178896756,cell,0.115942028985507,1664
C00 fuse,0.1,low,2671,1692.66661503788,1930.69772888325,cell,0.134878553754482,1664
C00 fuse,0.1,low,2340,1930.69772888325,2202.20194998738,cell,0.1181639145584,1664
C00 fuse,0.1,low,370,3268.02758941013,3727.59372031494,cell,0.0186840377720547,1664
C00 fuse,0.1,low,1173,2511.88643150958,2865.12026966378,cell,0.0592334494773519,1664
C00 fuse,0.1,low,2675,1483.98178896756,1692.66661503788,cell,0.135080543352017,1664
C00 fuse,0.1,low,1214,1000,1140.62492385132,cell,0.0613038428520931,1664
C00 fuse,0.1,low,790,876.712387296869,1000,cell,0.0398929455133061,1664
C00 fuse,0.1,low,76,4849.6934285282,5531.68119761723,cell,0.00383780235317881,1664
C00 fuse,0.1,low,657,2865.12026966378,3268.02758941013,cell,0.0331767913952432,1664
C00 fuse,0.1,low,118,517.947467923121,590.783791158794,cell,0.00595869312730394,1664
C00 fuse,0.1,low,191,3727.59372031494,4251.78630338289,cell,0.00964500328233096,1664
C00 fuse,0.1,low,9,7196.85673001152,8208.91415963826,cell,0.000454476594455386,1664
C00 fuse,0.1,low,44,349.025487895958,398.107170553497,cell,0.002221885572893,1664
C00 fuse,0.1,low,23,268.269579527973,305.99496872072,cell,0.00116144018583043,1664
C00 fuse,0.1,low,98,454.090961097248,517.947467923121,cell,0.00494874513962531,1664
C00 fuse,0.1,low,46,5531.68119761723,6309.57344480193,cell,0.00232288037166086,1664
C00 fuse,0.1,low,137,4251.78630338289,4849.6934285282,cell,0.00691814371559865,1664
C00 fuse,0.1,low,8,180.776867696343,206.198600950222,cell,0.000403979195071454,1664
C00 fuse,0.1,low,201,590.783791158794,673.862716803094,cell,0.0101499772761703,1664
C00 fuse,0.1,low,22,6309.57344480193,7196.85673001152,cell,0.0011109427864465,1664
C00 fuse,0.1,low,15,8208.91415963826,9363.29208823942,cell,0.000757460990758976,1664
C00 fuse,0.1,low,16,206.198600950222,235.195263507096,cell,0.000807958390142908,1664
C00 fuse,0.1,low,2,158.489319246111,180.776867696343,cell,0.000100994798767863,1664
C00 fuse,0.1,low,4,138.949549437314,158.489319246111,cell,0.000201989597535727,1664
C00 fuse,0.1,low,11,235.195263507096,268.269579527973,cell,0.000555471393223249,1664
C00 fuse,0.5,low,409,768.624610039774,876.712387296869,cell,0.0148387330842071,2019
C00 fuse,0.5,low,173,517.947467923121,590.783791158794,cell,0.00627653013097268,2019
C00 fuse,0.5,low,1950,1301.02521691083,1483.98178896756,cell,0.0707470159271487,2019
C00 fuse,0.5,low,322,673.862716803094,768.624610039774,cell,0.0116823277582266,2019
C00 fuse,0.5,low,3446,1692.66661503788,1930.69772888325,cell,0.125022675325618,2019
C00 fuse,0.5,low,137,454.090961097248,517.947467923121,cell,0.00497043137539455,2019
C00 fuse,0.5,low,2703,1483.98178896756,1692.66661503788,cell,0.0980662482313246,2019
C00 fuse,0.5,low,3622,1930.69772888325,2202.20194998738,cell,0.131408047019555,2019
C00 fuse,0.5,low,1390,1140.62492385132,1301.02521691083,cell,0.0504299241737111,2019
C00 fuse,0.5,low,632,876.712387296869,1000,cell,0.0229292892645938,2019
C00 fuse,0.5,low,2805,2511.88643150958,2865.12026966378,cell,0.101766861372129,2019
C00 fuse,0.5,low,878,1000,1140.62492385132,cell,0.0318542974277111,2019
C00 fuse,0.5,low,2027,2865.12026966378,3268.02758941013,cell,0.0735406160432464,2019
C00 fuse,0.5,low,3405,2202.20194998738,2511.88643150958,cell,0.123535173965098,2019
C00 fuse,0.5,low,503,4251.78630338289,4849.6934285282,cell,0.0182491020571055,2019
C00 fuse,0.5,low,805,3727.59372031494,4251.78630338289,cell,0.0292058193955665,2019
C00 fuse,0.5,low,60,305.99496872072,349.025487895958,cell,0.00217683125929688,2019
C00 fuse,0.5,low,1297,3268.02758941013,3727.59372031494,cell,0.047055835721801,2019
C00 fuse,0.5,low,63,349.025487895958,398.107170553497,cell,0.00228567282226173,2019
C00 fuse,0.5,low,192,590.783791158794,673.862716803094,cell,0.00696586002975003,2019
C00 fuse,0.5,low,62,6309.57344480193,7196.85673001152,cell,0.00224939230127345,2019
C00 fuse,0.5,low,9,121.818791201012,138.949549437314,cell,0.000326524688894533,2019
C00 fuse,0.5,low,56,268.269579527973,305.99496872072,cell,0.00203170917534376,2019
C00 fuse,0.5,low,138,5531.68119761723,6309.57344480193,cell,0.00500671189638283,2019
C00 fuse,0.5,low,227,4849.6934285282,5531.68119761723,cell,0.00823567826433988,2019
C00 fuse,0.5,low,13,8208.91415963826,9363.29208823942,cell,0.000471646772847658,2019
C00 fuse,0.5,low,32,7196.85673001152,8208.91415963826,cell,0.001160976671625,2019
C00 fuse,0.5,low,47,235.195263507096,268.269579527973,cell,0.00170518448644923,2019
C00 fuse,0.5,low,6,158.489319246111,180.776867696343,cell,0.000217683125929688,2019
C00 fuse,0.5,low,90,398.107170553497,454.090961097248,cell,0.00326524688894533,2019
C00 fuse,0.5,low,4,10680.0043251458,12181.8791201012,cell,0.000145122083953126,2019
C00 fuse,0.5,low,11,180.776867696343,206.198600950222,cell,0.000399085730871095,2019
C00 fuse,0.5,low,7,138.949549437314,158.489319246111,cell,0.00025396364691797,2019
C00 fuse,0.5,low,17,206.198600950222,235.195263507096,cell,0.000616768856800784,2019
C00 fuse,1,low,804,876.712387296869,1000,cell,0.024143419116543,1952
C00 fuse,1,low,1801,1140.62492385132,1301.02521691083,cell,0.0540824599861866,1952
C00 fuse,1,low,132,398.107170553497,454.090961097248,cell,0.00396384492958169,1952
C00 fuse,1,low,220,517.947467923121,590.783791158794,cell,0.00660640821596949,1952
C00 fuse,1,low,1184,1000,1140.62492385132,cell,0.0355544878532176,1952
C00 fuse,1,low,3874,2202.20194998738,2511.88643150958,cell,0.116332842857572,1952
C00 fuse,1,low,2688,1301.02521691083,1483.98178896756,cell,0.0807182967478454,1952
C00 fuse,1,low,4270,1692.66661503788,1930.69772888325,cell,0.128224377646317,1952
C00 fuse,1,low,4350,1930.69772888325,2202.20194998738,cell,0.130626707906669,1952
C00 fuse,1,low,1462,3268.02758941013,3727.59372031494,cell,0.0439025855079427,1952
C00 fuse,1,low,3542,1483.98178896756,1692.66661503788,cell,0.106363172277109,1952
C00 fuse,1,low,47,7196.85673001152,8208.91415963826,cell,0.00141136902795712,1952
C00 fuse,1,low,2950,2511.88643150958,2865.12026966378,cell,0.0885859283505,1952
C00 fuse,1,low,2083,2865.12026966378,3268.02758941013,cell,0.0625506741539293,1952
C00 fuse,1,low,405,4849.6934285282,5531.68119761723,cell,0.0121617969430347,1952
C00 fuse,1,low,525,768.624610039774,876.712387296869,cell,0.0157652923335636,1952
C00 fuse,1,low,600,4251.78630338289,4849.6934285282,cell,0.0180174769526441,1952
C00 fuse,1,low,145,454.090961097248,517.947467923121,cell,0.00435422359688898,1952
C00 fuse,1,low,9,138.949549437314,158.489319246111,cell,0.000270262154289661,1952
C00 fuse,1,low,898,3727.59372031494,4251.78630338289,cell,0.0269661571724573,1952
C00 fuse,1,low,369,673.862716803094,768.624610039774,cell,0.0110807483258761,1952
C00 fuse,1,low,284,590.783791158794,673.862716803094,cell,0.00852827242425152,1952
C00 fuse,1,low,73,305.99496872072,349.025487895958,cell,0.00219212636257169,1952
C00 fuse,1,low,86,349.025487895958,398.107170553497,cell,0.00258250502987898,1952
C00 fuse,1,low,16,9363.29208823942,10680.0043251458,cell,0.000480466052070509,1952
C00 fuse,1,low,10,10680.0043251458,12181.8791201012,cell,0.000300291282544068,1952
C00 fuse,1,low,201,5531.68119761723,6309.57344480193,cell,0.00603585477913576,1952
C00 fuse,1,low,115,6309.57344480193,7196.85673001152,cell,0.00345334974925678,1952
C00 fuse,1,low,17,8208.91415963826,9363.29208823942,cell,0.000510495180324915,1952
C00 fuse,1,low,49,268.269579527973,305.99496872072,cell,0.00147142728446593,1952
C00 fuse,1,low,17,180.776867696343,206.198600950222,cell,0.000510495180324915,1952
C00 fuse,1,low,30,235.195263507096,268.269579527973,cell,0.000900873847632203,1952
C00 fuse,1,low,24,206.198600950222,235.195263507096,cell,0.000720699078105763,1952
C00 fuse,1,low,8,121.818791201012,138.949549437314,cell,0.000240233026035254,1952
C00 fuse,1,low,9,158.489319246111,180.776867696343,cell,0.000270262154289661,1952
C00 fuse,0.1,high,1659,1692.66661503788,1930.69772888325,cell,0.101885401952957,1423
C00 fuse,0.1,high,1456,1000,1140.62492385132,cell,0.0894184118405699,1423
C00 fuse,0.1,high,164,454.090961097248,517.947467923121,cell,0.0100718540809433,1423
C00 fuse,0.1,high,1702,1140.62492385132,1301.02521691083,cell,0.104526192961985,1423
C00 fuse,0.1,high,1854,1483.98178896756,1692.66661503788,cell,0.113861082110176,1423
C00 fuse,0.1,high,1825,1301.02521691083,1483.98178896756,cell,0.112080083522692,1423
C00 fuse,0.1,high,39,305.99496872072,349.025487895958,cell,0.00239513603144384,1423
C00 fuse,0.1,high,1105,876.712387296869,1000,cell,0.0678621875575754,1423
C00 fuse,0.1,high,1458,1930.69772888325,2202.20194998738,cell,0.0895412393293619,1423
C00 fuse,0.1,high,1054,2202.20194998738,2511.88643150958,cell,0.0647300865933796,1423
C00 fuse,0.1,high,629,673.862716803094,768.624610039774,cell,0.0386292452250814,1423
C00 fuse,0.1,high,921,768.624610039774,876.712387296869,cell,0.0565620585887122,1423
C00 fuse,0.1,high,220,3268.02758941013,3727.59372031494,cell,0.0135110237671191,1423
C00 fuse,0.1,high,745,2511.88643150958,2865.12026966378,cell,0.0457532395750169,1423
C00 fuse,0.1,high,20,4849.6934285282,5531.68119761723,cell,0.00122827488791992,1423
C00 fuse,0.1,high,392,2865.12026966378,3268.02758941013,cell,0.0240741878032304,1423
C00 fuse,0.1,high,396,590.783791158794,673.862716803094,cell,0.0243198427808143,1423
C00 fuse,0.1,high,53,4251.78630338289,4849.6934285282,cell,0.00325492845298778,1423
C00 fuse,0.1,high,239,517.947467923121,590.783791158794,cell,0.014677884910643,1423
C00 fuse,0.1,high,23,235.195263507096,268.269579527973,cell,0.0014125161211079,1423
C00 fuse,0.1,high,1,93.6329208823942,106.800043251458,cell,6.14137443959958e-05,1423
C00 fuse,0.1,high,55,349.025487895958,398.107170553497,cell,0.00337775594177977,1423
C00 fuse,0.1,high,103,3727.59372031494,4251.78630338289,cell,0.00632561567278757,1423
C00 fuse,0.1,high,90,398.107170553497,454.090961097248,cell,0.00552723699563962,1423
C00 fuse,0.1,high,20,268.269579527973,305.99496872072,cell,0.00122827488791992,1423
C00 fuse,0.1,high,8,5531.68119761723,6309.57344480193,cell,0.000491309955167967,1423
C00 fuse,0.1,high,19,206.198600950222,235.195263507096,cell,0.00116686114352392,1423
C00 fuse,0.5,high,1820,2202.20194998738,2511.88643150958,cell,0.0597760042040267,1398
C00 fuse,0.5,high,2316,876.712387296869,1000,cell,0.0760666075475416,1398
C00 fuse,0.5,high,2954,1692.66661503788,1930.69772888325,cell,0.0970210529773048,1398
C00 fuse,0.5,high,3333,1140.62492385132,1301.02521691083,cell,0.109468913193418,1398
C00 fuse,0.5,high,1119,673.862716803094,768.624610039774,cell,0.0367523893979702,1398
C00 fuse,0.5,high,64,305.99496872072,349.025487895958,cell,0.00210201333464709,1398
C00 fuse,0.5,high,3483,1301.02521691083,1483.98178896756,cell,0.114395506946497,1398
C00 fuse,0.5,high,2880,1000,1140.62492385132,cell,0.0945906000591191,1398
C00 fuse,0.5,high,111,349.025487895958,398.107170553497,cell,0.00364567937727855,1398
C00 fuse,0.5,high,796,590.783791158794,673.862716803094,cell,0.0261437908496732,1398
C00 fuse,0.5,high,2478,1930.69772888325,2202.20194998738,cell,0.0813873288008671,1398
C00 fuse,0.5,high,3363,1483.98178896756,1692.66661503788,cell,0.110454231944034,1398
C00 fuse,0.5,high,271,454.090961097248,517.947467923121,cell,0.00890071271389628,1398
C00 fuse,0.5,high,194,398.107170553497,454.090961097248,cell,0.006371727920649,1398
C00 fuse,0.5,high,1647,768.624610039774,876.712387296869,cell,0.0540939994088088,1398
C00 fuse,0.5,high,772,2865.12026966378,3268.02758941013,cell,0.0253555358491805,1398
C00 fuse,0.5,high,1321,2511.88643150958,2865.12026966378,cell,0.0433868689854501,1398
C00 fuse,0.5,high,502,517.947467923121,590.783791158794,cell,0.0164876670936381,1398
C00 fuse,0.5,high,43,268.269579527973,305.99496872072,cell,0.00141229020921601,1398
