context,G0_mM,hours,ploidy_state,n_objects,n_images,n_wells,q10,median,q90,metric,total_segmented_area_px,n_cells
C00 fuse,0.5,8,low,3983,24,6,562,965,1708.8,cell,4281423,3983
C00 fuse,0.5,16,low,5333,24,6,842.2,1467,2422,cell,8403917,5333
C00 fuse,0.5,24,low,6040,24,6,1045,1863,2997,cell,11925098,6040
C00 fuse,0.5,32,low,6710,24,6,1093,2080,3375.1,cell,14746508,6710
C00 fuse,0.5,40,low,7336,24,6,1104.5,2094,3488,cell,16446577,7336
C00 fuse,0.5,48,low,7477,24,6,1106.6,2036,3504,cell,16577904,7477
C00 fuse,0.5,56,low,7484,24,6,1030.3,1934,3441.7,cell,15991260,7484
C00 fuse,0.5,64,low,7099,24,6,981,1810,3313.6,cell,14393193,7099
C00 fuse,0.5,72,low,4324,24,6,750.3,1544.5,3021.5,cell,7667084,4324
C00 fuse,0.5,80,low,2029,24,6,582,1309,2799.4,cell,3193195,2029
C00 fuse,0.5,88,low,680,24,6,472,1159.5,3191.6,cell,1066648,680
C00 fuse,0.5,96,low,176,24,6,323.5,1020,3558,cell,279016,176
C00 fuse,0.5,104,low,136,23,6,370,774,2286.5,cell,172845,136
C00 fuse,0.5,112,low,83,24,6,307,561,2025.2,cell,84897,83
C00 fuse,0.5,120,low,93,23,6,281,521,1490,cell,72735,93
C00 fuse,0.5,128,low,106,24,6,236.5,491,1074,cell,70391,106
C00 fuse,0.5,136,low,101,24,6,214,411,1001,cell,54219,101
C00 fuse,0.5,144,low,141,24,6,170,341,840,cell,67665,141
C00 fuse,1,8,low,3990,24,6,559.9,941,1649,cell,4180280,3990
C00 fuse,1,16,low,5511,24,6,831,1428,2310,cell,8413913,5511
C00 fuse,1,24,low,6355,24,6,1016.4,1813,2948.2,cell,12237083,6355
C00 fuse,1,32,low,7722,24,6,1040,1914,3283.6,cell,16039201,7722
C00 fuse,1,40,low,9181,24,6,1090,2003,3506,cell,20160713,9181
C00 fuse,1,48,low,10043,24,6,1118,2043,3615.8,cell,22664601,10043
C00 fuse,1,56,low,10265,24,6,1092,2002,3593,cell,22811386,10265
C00 fuse,1,64,low,10062,24,6,1022,1844.5,3476.9,cell,21191122,10062
C00 fuse,1,72,low,9423,24,6,918,1669,3253.8,cell,18291917,9423
C00 fuse,1,80,low,5916,24,6,699,1428,2886,cell,9932330,5916
C00 fuse,1,88,low,2618,24,6,503.7,1146,2647.5,cell,3701984,2618
C00 fuse,1,96,low,989,24,6,418,896,2526,cell,1248698,989
C00 fuse,1,104,low,354,24,6,338.6,676.5,2486.5,cell,389627,354
C00 fuse,1,112,low,204,24,6,299,520,1671,cell,172777,204
C00 fuse,1,120,low,164,24,6,300.3,493.5,1563.6,cell,124876,164
C00 fuse,1,128,low,175,24,6,275.4,447,819.8,cell,105781,175
C00 fuse,1,136,low,166,24,6,295.5,461.5,812,cell,91409,166
C00 fuse,1,144,low,122,23,6,257.5,419,788.3,cell,60197,122
C00 fuse,0.5,8,high,3682,24,6,590,983,1630.9,cell,3929535,3682
C00 fuse,0.5,16,high,5309,24,6,823.8,1474,2403.4,cell,8258679,5309
C00 fuse,0.5,24,high,6450,24,6,840,1605,2620,cell,10931694,6450
C00 fuse,0.5,32,high,7811,24,6,801,1460,2540,cell,12434084,7811
C00 fuse,0.5,40,high,8413,24,6,747,1310,2396.8,cell,12381697,8413
C00 fuse,0.5,48,high,7773,24,6,702,1267,2388.8,cell,11162939,7773
C00 fuse,0.5,56,high,5351,24,6,583,1121,2198,cell,6896429,5351
