context,ploidy_state,G0_mM,median_cell_area_px,median_nuclear_area_px,n_cells,n_images,G0_label,row_label
C00 fuse,high,5,1226,211,50604,96,5.00,SUM-159-fuse C00 — High / 4N
C00 fuse,high,25,1225,215,47997,96,25.00,SUM-159-fuse C00 — High / 4N
C00 fuse,low,0.1,1664,182,19803,96,0.10,SUM-159-fuse C00 — Low / 2N
C00 fuse,low,0.5,2019,220,27563,96,0.50,SUM-159-fuse C00 — Low / 2N
C00 fuse,low,1,1952,227,33301,96,1.00,SUM-159-fuse C00 — Low / 2N
C00 fuse,low,5,1788,216,35757,96,5.00,SUM-159-fuse C00 — Low / 2N
C00 fuse,low,25,1809,219,31886,96,25.00,SUM-159-fuse C00 — Low / 2N
C00 fuse,high,0.1,1423,208,16283,96,0.10,SUM-159-fuse C00 — High / 4N
C00 fuse,high,0.5,1398,221,30447,96,0.50,SUM-159-fuse C00 — High / 4N
C00 fuse,high,1,1322,222,42239,96,1.00,SUM-159-fuse C00 — High / 4N
I00 fuse,high,0.5,1316,210,29653,64,0.50,SUM-159-fuse I00 — High / 4N
I00 fuse,high,1,1206,208,35329,64,1.00,SUM-159-fuse I00 — High / 4N
I00 fuse,low,0,1319,156,11201,64,0,SUM-159-fuse I00 — Low / 2N
I00 fuse,low,0.1,1589,173,17171,64,0.10,SUM-159-fuse I00 — Low / 2N
I00 fuse,low,0.25,1721,189,19607,64,0.25,SUM-159-fuse I00 — Low / 2N
I00 fuse,low,0.5,1764,202,24570,64,0.50,SUM-159-fuse I00 — Low / 2N
I00 fuse,low,1,1701,202,26598,64,1.00,SUM-159-fuse I00 — Low / 2N
I00 fuse,high,0,1435,195,14257,64,0,SUM-159-fuse I00 — High / 4N
I00 fuse,high,0.1,1453,207,19694,64,0.10,SUM-159-fuse I00 — High / 4N
I00 fuse,high,0.25,1356,205,27011,64,0.25,SUM-159-fuse I00 — High / 4N
M00b chem,high,0.5,1584,204,10374,64,0.50,SUM-159-chem M00b — High / 4N
M00b chem,high,1,1483,196,13591,64,1.00,SUM-159-chem M00b — High / 4N
M00b chem,low,0,734.5,125,3192,64,0,SUM-159-chem M00b — Low / 2N
M00b chem,low,0.1,1058,163,4922,64,0.10,SUM-159-chem M00b — Low / 2N
M00b chem,low,0.25,1112,156,7769,64,0.25,SUM-159-chem M00b — Low / 2N
M00b chem,low,0.5,1136,157,10473,64,0.50,SUM-159-chem M00b — Low / 2N
M00b chem,low,1,1066,154,12064,64,1.00,SUM-159-chem M00b — Low / 2N
M00b chem,high,0,1181,182,5317,64,0,SUM-159-chem M00b — High / 4N
M00b chem,high,0.1,1561,202,8187,64,0.10,SUM-159-chem M00b — High / 4N
M00b chem,high,0.25,1594,206,9524,64,0.25,SUM-159-chem M00b — High / 4N
M00b chem,high,5,1413,192,12272,64,5.00,SUM-159-chem M00b — High / 4N
M00b chem,low,5,1116,165,8402,64,5.00,SUM-159-chem M00b — Low / 2N
M00b chem,high,25,1482,200,11720,64,25.00,SUM-159-chem M00b — High / 4N
M00b chem,low,25,1128,165,8517,64,25.00,SUM-159-chem M00b — Low / 2N
J00 mixture,high,0,1283,195,5832,64,0,Mixture GFP-defined — High / 4N
J00 mixture,low,0,1083,156,3917,64,0,Mixture GFP-defined — Low / 2N
J00 mixture,high,0.1,1596,215,8953,64,0.10,Mixture GFP-defined — High / 4N
J00 mixture,low,0.1,1465,169,9247,64,0.10,Mixture GFP-defined — Low / 2N
J00 mixture,low,0.25,1578,185,10989,64,0.25,Mixture GFP-defined — Low / 2N
J00 mixture,high,0.25,1514,212,12183,64,0.25,Mixture GFP-defined — High / 4N
J00 mixture,high,0.5,1471,218,13513,64,0.50,Mixture GFP-defined — High / 4N
J00 mixture,low,0.5,1596,198,12102,64,0.50,Mixture GFP-defined — Low / 2N
J00 mixture,low,1,1571,200,14016,64,1.00,Mixture GFP-defined — Low / 2N
J00 mixture,high,1,1358,210,14945,64,1.00,Mixture GFP-defined — High / 4N
