context,G0_mM,hours,ploidy_state,n_cells,median_cell_area_px,cell_q10,cell_q90,median_nuclear_area_px,nuclear_q10,nuclear_q90,context_label,G0_label
C00 fuse,5,8,high,3953,964,572.2,1589,169,121,250,SUM-159-fuse C00,5 mM
C00 fuse,5,16,high,5655,1436,784,2348.2,201,140.4,282.6,SUM-159-fuse C00,5 mM
C00 fuse,5,24,high,7311,1515,791,2452,216,143,297,SUM-159-fuse C00,5 mM
C00 fuse,5,32,high,10203,1395,732,2328,221,148,303,SUM-159-fuse C00,5 mM
C00 fuse,5,40,high,13919,1223,641,2060.2,213,138,296,SUM-159-fuse C00,5 mM
C00 fuse,5,48,high,19167,1052,562,1821,203,134,285,SUM-159-fuse C00,5 mM
C00 fuse,5,56,high,24867,934,494,1617,197,127,278,SUM-159-fuse C00,5 mM
C00 fuse,5,64,high,31235,808,426,1422,188,121,265,SUM-159-fuse C00,5 mM
C00 fuse,5,72,high,37631,699,366,1242,176,112,252,SUM-159-fuse C00,5 mM
C00 fuse,5,80,high,43742,648,359,1137,177,118,251,SUM-159-fuse C00,5 mM
C00 fuse,5,88,high,40979,658,378,1157,176,111,250,SUM-159-fuse C00,5 mM
C00 fuse,5,96,high,13738,607,336,1139,158,72,243,SUM-159-fuse C00,5 mM
C00 fuse,5,104,high,3318,404.5,254,645.3,124,61,211,SUM-159-fuse C00,5 mM
C00 fuse,5,112,high,3494,396,257,574,131,67,206,SUM-159-fuse C00,5 mM
C00 fuse,5,120,high,3316,394,259,575,136,71,209,SUM-159-fuse C00,5 mM
C00 fuse,5,128,high,2947,397,262.6,579,142,74,216,SUM-159-fuse C00,5 mM
C00 fuse,5,136,high,2822,399,259,580,145,79,220,SUM-159-fuse C00,5 mM
C00 fuse,5,144,high,2582,404,261,592,152,85,227,SUM-159-fuse C00,5 mM
C00 fuse,25,8,high,3800,956,564.9,1589.1,170,120,253,SUM-159-fuse C00,25 mM
C00 fuse,25,16,high,5486,1411,790.5,2283.5,204,142,285,SUM-159-fuse C00,25 mM
C00 fuse,25,24,high,6918,1500.5,770.7,2457.3,220,141,311,SUM-159-fuse C00,25 mM
C00 fuse,25,32,high,9844,1367,718,2264.7,222,145,309,SUM-159-fuse C00,25 mM
C00 fuse,25,40,high,13115,1232,631,2076.6,218,138,305,SUM-159-fuse C00,25 mM
C00 fuse,25,48,high,18119,1061,555.8,1848,207,133,294,SUM-159-fuse C00,25 mM
C00 fuse,25,56,high,22990,949,494.9,1667,204,129,286,SUM-159-fuse C00,25 mM
C00 fuse,25,64,high,28464,819,423,1451,192,122,275,SUM-159-fuse C00,25 mM
C00 fuse,25,72,high,34460,713,371,1288,184,114,262,SUM-159-fuse C00,25 mM
C00 fuse,25,80,high,40526,604,319,1142,171,104,249,SUM-159-fuse C00,25 mM
C00 fuse,25,88,high,47665,512,293,986,157,95,231,SUM-159-fuse C00,25 mM
C00 fuse,25,96,high,49924,459,277,862,147,91,219,SUM-159-fuse C00,25 mM
C00 fuse,25,104,high,47195,432,268,775,142,88,210,SUM-159-fuse C00,25 mM
C00 fuse,25,112,high,38617,425,268,733,140,83,207,SUM-159-fuse C00,25 mM
C00 fuse,25,120,high,25239,430,270,726,139,70,210,SUM-159-fuse C00,25 mM
C00 fuse,25,128,high,12911,426,268,721,131,48,207,SUM-159-fuse C00,25 mM
C00 fuse,25,136,high,6315,420,251,727,121,38,200,SUM-159-fuse C00,25 mM
C00 fuse,25,144,high,3577,416,235,731,110,35,201,SUM-159-fuse C00,25 mM
C00 fuse,0.1,8,low,3936,1115,639,1968,149,104,231,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,16,low,4612,1395,829.1,2276.8,156,111,235,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,24,low,4974,1570,922.3,2507,168,121,248.7,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,32,low,5096,1666,974.5,2694,180,130,264,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,40,low,5122,1716.5,984,2776.8,187,133,272,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,48,low,4610,1708,904.8,2807,193,137,280,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,56,low,3314,1539.5,759,2736.4,190,132,281,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,64,low,1700,1414.5,615,2774.8,185,117,298,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,72,low,612,1443.5,579.7,3047.4,182,108,288,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,80,low,273,1333,496.8,2987.6,165,99.2,282.6,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,88,low,153,1012,337.4,2418,145,60.6,279,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,96,low,99,764,310.8,2169.4,138,52.6,271.4,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,104,low,75,662,292.4,1645.6,136,66.4,246,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,112,low,75,434,186.8,1348.8,119,44,293,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,120,low,78,458,195.2,1395.6,129.5,69.8,301.7,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,128,low,92,334.5,166.5,1240.3,123,53.8,234.2,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,136,low,76,405,179,1403,122.5,59,254,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,144,low,88,346.5,148.5,1211.3,118,49,236,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.5,8,low,3981,965,562,1709,147,102,223,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,16,low,5330,1467.5,843,2422.3,169,118,252,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,24,low,6040,1863,1045,2997,201,134,287,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,32,low,6709,2080,1093.8,3375.2,219,143.8,309,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,40,low,7332,2094,1106,3488.8,227,151,324,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,48,low,7476,2036.5,1107,3504,231,158,333,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,56,low,7480,1935,1031.9,3442.3,234,156,344,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,64,low,7098,1810,981,3313.9,233,154,348,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,72,low,4322,1545,750.1,3022.5,218,140,334.9,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,80,low,2026,1309,582.5,2800,199,111.5,317,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,88,low,677,1173,472,3196.4,180,93,319.4,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,96,low,175,1012,323.4,3475.4,167,69,328.6,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,104,low,134,789.5,374.9,2318.7,157.5,78,294.1,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,112,low,80,594.5,317.5,2046.7,137,66.7,249,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,120,low,92,518,280.5,1518,132,78.1,282.6,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,128,low,104,491,235.5,1027.5,125.5,60.6,257,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,136,low,99,411,213.4,1018.6,124,65,241.2,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,0.5,144,low,141,341,170,840,118,64,254,SUM-159-fuse C00,★ 0.5 mM
C00 fuse,1,8,low,3989,941,560,1649,145,103,225.2,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,16,low,5511,1428,831,2310,172,120,254,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,24,low,6354,1813.5,1017,2948.9,207,136,295,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,32,low,7722,1914,1040,3283.6,220,139,324,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,40,low,9181,2003,1090,3506,231,150,340,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,48,low,10041,2043,1119,3616,241,157,354,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,56,low,10263,2002,1093.2,3593,244,166,365,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,64,low,10062,1844.5,1022,3476.9,242,165,371,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,72,low,9422,1669,918.1,3253.9,235,159,372,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,80,low,5914,1428,699,2886,218,130,350,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,88,low,2610,1146.5,503.9,2646.5,192,98,319,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,96,low,986,896,418.5,2529,170.5,85,294,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,104,low,353,678,338.4,2489,132,77.2,277.8,SUM-159-fuse C00,★ 1 mM
C00 fuse,1,112,low,203,520,299,1570,110,72,225.6,SUM-159-fuse C00,★ 1 mM
