context,assay,G0_mM,hours,pair_id,size_decile,stratum_median_bg_z_low,stratum_median_bg_z_high,n_cells_low,n_cells_high,high_minus_low_bg_z
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|2,1,1.18459678769885,0.798165646705433,12,35,-0.386431140993419
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|2,2,1.21222089014215,0.517994984810017,10,25,-0.694225905332129
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|2,3,1.02254104396529,0.763433969586402,20,17,-0.259107074378886
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|2,4,1.10700641869303,0.470801179384986,17,15,-0.636205239308044
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|2,5,0.911151831872451,0.57761342266818,29,10,-0.333538409204271
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|2,6,0.876354647533419,0.427911900165061,28,12,-0.448442747368358
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|2,7,0.673854673478882,0.611790160868783,28,19,-0.0620645126100986
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|2,8,0.645168050703085,0.492857751640135,23,11,-0.15231029906295
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|2,9,0.617713666272633,0.330384384921136,17,10,-0.287329281351497
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|3,1,1.18253591139635,0.785329588898138,19,50,-0.397206322498211
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|3,2,0.791255782589197,0.57382244391559,13,41,-0.217433338673607
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|3,3,1.00306977953156,0.678123037324042,29,31,-0.324946742207515
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|3,4,1.13793293307701,0.481195961613541,23,36,-0.656736971463469
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|3,5,0.692299371039618,0.358803281687726,38,29,-0.333496089351892
