"figure","panel","subpanel_png","x_in","y_in","width_in","height_in","sx","sy","x_npc","y_npc","width_npc","height_npc","input_width_in","input_height_in","layout_width_in","layout_height_in","target_width_in","max_height_in","layout_tree","layout_score","wasted_fraction","over_width_in","over_height_in","scale_note"
"SUM159 evidence 1","a","/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_1a.png",0,4.63,7,4.55,1,1,0,0.504357298474946,1,0.495642701525054,7,4.55,7,9.18,7,9.25,"[a / b]",0.00871459694989099,0.00871459694989099,0,0,"near native size"
"SUM159 evidence 1","b","/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_1b.png",0,0,7,4.55,1,1,0,0,1,0.495642701525054,7,4.55,7,9.18,7,9.25,"[a / b]",0.00871459694989099,0.00871459694989099,0,0,"near native size"
"SUM159 evidence 2","a","/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_2a.png",0,4.65005839198246,3.45871788067607,4.57005839198246,1.00059340810301,1.00045061120457,0,0.504338339842893,0.494283620262593,0.495661660157107,3.45666666666667,4.568,6.99743576135214,9.22011678396492,7,9.25,"[[a | b] / [c | d]]",0.0200102918929127,0.0200102407687119,0,0,"near native size"
"SUM159 evidence 2","b","/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_2b.png",3.53871788067607,4.65005839198246,3.45871788067607,4.57005839198246,1.00059340810301,1.00045061120457,0.505716379737407,0.504338339842893,0.494283620262593,0.495661660157107,3.45666666666667,4.568,6.99743576135214,9.22011678396492,7,9.25,"[[a | b] / [c | d]]",0.0200102918929127,0.0200102407687119,0,0,"near native size"
"SUM159 evidence 2","c","/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_2c.png",0,0,3.45871788067607,4.57005839198246,1.00059340810301,1.00045061120457,0,0,0.494283620262593,0.495661660157107,3.45666666666667,4.568,6.99743576135214,9.22011678396492,7,9.25,"[[a | b] / [c | d]]",0.0200102918929127,0.0200102407687119,0,0,"near native size"
"SUM159 evidence 2","d","/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_2d.png",3.53871788067607,0,3.45871788067607,4.57005839198246,1.00059340810301,1.00045061120457,0.505716379737407,0,0.494283620262593,0.495661660157107,3.45666666666667,4.568,6.99743576135214,9.22011678396492,7,9.25,"[[a | b] / [c | d]]",0.0200102918929127,0.0200102407687119,0,0,"near native size"
"SUM159 evidence 3","a","/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_3a.png",0,2.83,3.42,5.15,1,1,0,0.354636591478697,0.494219653179191,0.645363408521303,3.42,5.15,6.92,7.98,7,9.25,"[[a | b] / [c | d]]",0.0214763902323936,0.0214698596201487,0,0,"near native size"
"SUM159 evidence 3","b","/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_3b.png",3.5,2.83,3.42,5.15,1,1,0.505780346820809,0.354636591478697,0.494219653179191,0.645363408521303,3.42,5.15,6.92,7.98,7,9.25,"[[a | b] / [c | d]]",0.0214763902323936,0.0214698596201487,0,0,"near native size"
"SUM159 evidence 3","c","/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_3c.png",0,0,3.42,2.75,1,1,0,0,0.494219653179191,0.344611528822055,3.42,2.75,6.92,7.98,7,9.25,"[[a | b] / [c | d]]",0.0214763902323936,0.0214698596201487,0,0,"near native size"
"SUM159 evidence 3","d","/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_3d.png",3.5,0,3.42,2.75,1,1,0.505780346820809,0,0.494219653179191,0.344611528822055,3.42,2.75,6.92,7.98,7,9.25,"[[a | b] / [c | d]]",0.0214763902323936,0.0214698596201487,0,0,"near native size"
"SUM159 evidence 4","a","/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_4a.png",0.000804129966414546,7.13438258510835,2.75783483819849,2.01653409195501,1.00284903207218,0.998284203938125,0.000115362459063313,0.779635837247931,0.39564575617499,0.220364162752069,2.75,2.02,6.97046485437021,9.15091667706337,7,9.25,"[[[a | b] | c] / d]",0.0138671832639498,0.0138652773208317,0,0,"near native size"
"SUM159 evidence 4","b","/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_4b.png",2.83863896816491,7.13449204008985,2.02551087811945,2.01631518199202,1.00272815748487,0.998175832669315,0.407238115028324,0.779647798342689,0.290584763059171,0.220340240562553,2.02,2.02,6.97046485437021,9.15091667706337,7,9.25,"[[[a | b] | c] / d]",0.0138671832639498,0.0138652773208317,0,0,"near native size"
