figure,panel,subpanel_png,width_px,height_px,width_in,height_in,order
SUM159 evidence 1,a,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_1a.png,2100,1365,7,4.55,1
SUM159 evidence 1,b,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_1b.png,2100,1365,7,4.55,2
SUM159 evidence 2,a,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_2a.png,1037,1370,3.45666666666667,4.568,3
SUM159 evidence 2,b,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_2b.png,1037,1370,3.45666666666667,4.568,4
SUM159 evidence 2,c,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_2c.png,1037,1370,3.45666666666667,4.568,5
SUM159 evidence 2,d,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_2d.png,1037,1370,3.45666666666667,4.568,6
SUM159 evidence 3,a,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_3a.png,1026,1545,3.42,5.15,7
SUM159 evidence 3,b,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_3b.png,1026,1545,3.42,5.15,8
SUM159 evidence 3,c,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_3c.png,1026,825,3.42,2.75,9
SUM159 evidence 3,d,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_3d.png,1026,825,3.42,2.75,10
SUM159 evidence 4,a,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_4a.png,825,606,2.75,2.02,11
SUM159 evidence 4,b,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_4b.png,606,606,2.02,2.02,12
SUM159 evidence 4,c,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_4c.png,606,606,2.02,2.02,13
SUM159 evidence 4,d,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/subpanels/sum159_evidence_4d.png,2100,2115,7,7.05,14
