figure,panel,approved_source,approved_generator,intended_content,regeneration_strategy
SUM159 evidence 1,a,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_1_all_timecourses.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Complete segmented-cell-area time courses across contexts and glucose conditions,Regenerate from authenticated object measurements and field metadata with the package-local R entrypoint
SUM159 evidence 1,b,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_1_all_timecourses.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Complete nuclear-area time courses across contexts and glucose conditions,Regenerate from authenticated object measurements and field metadata with the package-local R entrypoint
SUM159 evidence 2,a,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_2_confluence_robustness.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Field median cell area versus cell count,Regenerate from authenticated object measurements with the package-local R entrypoint
SUM159 evidence 2,b,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_2_confluence_robustness.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Field median nuclear area versus cell count,Regenerate from authenticated object measurements with the package-local R entrypoint
SUM159 evidence 2,c,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_2_confluence_robustness.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Field median cell area versus total segmented area,Regenerate from authenticated object measurements with the package-local R entrypoint
SUM159 evidence 2,d,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_2_confluence_robustness.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Field median nuclear area versus total segmented area,Regenerate from authenticated object measurements with the package-local R entrypoint
SUM159 evidence 3,a,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_3_focused_distributions_and_same_2n.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Focused segmented-cell-area distributions,Regenerate from authenticated object measurements with the package-local R entrypoint
SUM159 evidence 3,b,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_3_focused_distributions_and_same_2n.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Focused nuclear-area distributions,Regenerate from authenticated object measurements with the package-local R entrypoint
SUM159 evidence 3,c,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_3_focused_distributions_and_same_2n.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Low or 2N cell area relative to chem 2N,Regenerate from authenticated object measurements with the package-local R entrypoint
SUM159 evidence 3,d,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_3_focused_distributions_and_same_2n.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Low or 2N nuclear area relative to chem 2N,Regenerate from authenticated object measurements with the package-local R entrypoint
SUM159 evidence 4,a,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_4_cytoplasmic_signal_and_multimodal_fields.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Image-level cytoplasmic red summaries,Regenerate from per-cell cytoplasmic-red measurements with the package-local R entrypoint
SUM159 evidence 4,b,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_4_cytoplasmic_signal_and_multimodal_fields.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Matched high-minus-low cytoplasmic-red contrasts,Regenerate from per-cell cytoplasmic-red measurements with the package-local R entrypoint
SUM159 evidence 4,c,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_4_cytoplasmic_signal_and_multimodal_fields.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Cell-size-standardized cytoplasmic-red contrasts,Regenerate from exact-mask areas and cytoplasmic-red measurements with the package-local R entrypoint
SUM159 evidence 4,d,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/approved_reference_images/figure_4_cytoplasmic_signal_and_multimodal_fields.png,manuscript_figures/20260729_sum159_label_swap_evidence_figures/polishing/scripts/polish_figures.R,Seven multimodal fields with all segmentation outlines,Regenerate selected crops normalization composites and overlays from raw TIFF channels and masks through the package-local R entrypoint
