"cellLine","ploidy_abs","ploidy_effect_metric","ploidy_label","pair_state","metric"
"MCF10A",4,1,"4N","elevated","ploidy"
"MCF10A",2,0,"2N","baseline","ploidy"
"MDA-MB-231",4.4,0.33,"parental","elevated","ploidy"
"MDA-MB-231",3.5,0,"3N","baseline","ploidy"
"SNU668",2.6,0,"low","baseline","ploidy"
"SNU668",5.2,1,"high","elevated","ploidy"
"SUM-159-chem",2,0,"2N","baseline","ploidy"
"SUM-159-chem",4,1,"4N","elevated","ploidy"
"SUM-159-fuse",2,0,"2N","baseline","ploidy"
"SUM-159-fuse",4,1,"4N","elevated","ploidy"
"MCF10A",4,0.653535253550523,"4N","elevated","cell_area"
"MCF10A",2,0,"2N","baseline","cell_area"
"MDA-MB-231",4.4,-0.000469703745281697,"parental","elevated","cell_area"
"MDA-MB-231",3.5,0,"3N","baseline","cell_area"
"SNU668",2.6,0,"low","baseline","cell_area"
"SNU668",5.2,1.01581750460499,"high","elevated","cell_area"
"SUM-159-chem",2,0,"2N","baseline","cell_area"
"SUM-159-chem",4,0.463963523790174,"4N","elevated","cell_area"
"SUM-159-fuse",2,0,"2N","baseline","cell_area"
"SUM-159-fuse",4,-0.393233128960496,"4N","elevated","cell_area"
"MCF10A",4,0.959707294051967,"4N","elevated","nuclear_area"
"MCF10A",2,0,"2N","baseline","nuclear_area"
"MDA-MB-231",4.4,0.180154133759199,"parental","elevated","nuclear_area"
"MDA-MB-231",3.5,0,"3N","baseline","nuclear_area"
"SNU668",2.6,0,"low","baseline","nuclear_area"
"SNU668",5.2,0.705095078879184,"high","elevated","nuclear_area"
"SUM-159-chem",2,0,"2N","baseline","nuclear_area"
"SUM-159-chem",4,0.334735871187983,"4N","elevated","nuclear_area"
"SUM-159-fuse",2,0,"2N","baseline","nuclear_area"
"SUM-159-fuse",4,0.0590354702969521,"4N","elevated","nuclear_area"
