"figure","panel","subpanel_png","x_in","y_in","width_in","height_in","sx","sy","x_npc","y_npc","width_npc","height_npc","input_width_in","input_height_in","layout_width_in","layout_height_in","target_width_in","max_height_in","layout_tree","layout_score","wasted_fraction","over_width_in","over_height_in","scale_note"
"Figure 1","a","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_1_a.png",7.53819021617197e-05,5.63631612954923,6.96779652589184,3.45474342374977,0.995399503698834,1.00137490543472,1.08183800806287e-05,0.619984512971747,0.999978363239839,0.380015487028253,7,3.45,6.96794728969616,9.091059553299,7,9.25,"[a / [b | [[c | d] / [e | f]]]]",0.0289926842548574,0.0289855765676521,0,0,"near native size"
"Figure 1","b","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_1_b.png",0,0.00101498642644593,2.02469729028006,5.55428615669633,1.00232539122775,0.988307145319632,0,0.000111646659060506,0.290572991743792,0.610961365298809,2.02,5.62,6.96794728969616,9.091059553299,7,9.25,"[a / [b | [[c | d] / [e | f]]]]",0.0289926842548574,0.0289855765676521,0,0,"revise subpanel dimensions or accept optimizer scale"
"Figure 1","c","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_1_c.png",2.10519700347333,3.81860801290883,1.98214506629596,1.73754494661799,1.00108336681614,1.00436124081965,0.302125850835064,0.420039929396692,0.28446613957988,0.191126780814836,1.98,1.73,6.96794728969616,9.091059553299,7,9.25,"[a / [b | [[c | d] / [e | f]]]]",0.0289926842548574,0.0289855765676521,0,0,"near native size"
"Figure 1","d","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_1_d.png",4.16734206976929,3.81844484288643,2.80010550673361,1.73787128666279,1.00003768097629,1.00454987668369,0.598073133522657,0.42002198099129,0.401855150493785,0.19116267762564,2.8,1.73,6.96794728969616,9.091059553299,7,9.25,"[a / [b | [[c | d] / [e | f]]]]",0.0289926842548574,0.0289855765676521,0,0,"near native size"
"Figure 1","e","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_1_e.png",2.10469729028006,0,2.39162499970805,3.73844484288643,1.00488445365884,1.0049582910985,0.302054134851505,0,0.343232361020391,0.411222126636473,2.38,3.72,6.96794728969616,9.091059553299,7,9.25,"[a / [b | [[c | d] / [e | f]]]]",0.0289926842548574,0.0289855765676521,0,0,"near native size"
"Figure 1","f","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_1_f.png",4.57632228998811,0,2.39162499970805,3.73844484288643,1.00488445365884,1.0049582910985,0.656767638979609,0,0.343232361020391,0.411222126636473,2.38,3.72,6.96794728969616,9.091059553299,7,9.25,"[a / [b | [[c | d] / [e | f]]]]",0.0289926842548574,0.0289855765676521,0,0,"near native size"
"Figure S1","a","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s1_a.png",0,0,7,6.85,1,1,0,0,1,1,7,6.85,7,6.85,7,9.25,"a",0,0,0,0,"near native size"
"Figure S2","a","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s2_a.png",4.26067144578823e-05,6.04444308897086,3.37337902539423,2.43016801200782,0.977791021853399,1.0341140476629,6.35313960567025e-06,0.713224430431195,0.503008696255022,0.286751843090229,3.45,2.35,6.70640299165712,8.47481217842826,7,9.25,"[[[a / [b / c]] | [[d / e] / f]] / g]",0.0386340706035396,0.0382473988477701,0,0,"revise subpanel dimensions or accept optimizer scale"
"Figure S2","b","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s2_b.png",0.00044885165638564,4.26721098952074,3.37256653551037,1.69723209945011,0.977555517539238,1.02862551481825,6.69288226406942e-05,0.503516880336591,0.502887544888952,0.200267812869085,3.45,1.65,6.70640299165712,8.47481217842826,7,9.25,"[[[a / [b / c]] | [[d / e] / f]] / g]",0.0386340706035396,0.0382473988477701,0,0,"revise subpanel dimensions or accept optimizer scale"
"Figure S2","c","manuscript_figures/20260722T141236_resegmentation_fix/subpanels/figure_s2_c.png",0,1.38686749698916,3.37346423882314,2.80034349253158,1.00700425039497,1.03716425649318,0,0.163645809227405,0.503021402534233,0.330431333883665,3.35,2.7,6.70640299165712,8.47481217842826,7,9.25,"[[[a / [b / c]] | [[d / e] / f]] / g]",0.0386340706035396,0.0382473988477701,0,0,"revise subpanel dimensions or accept optimizer scale"
