figure,panel,approved_source,approved_generator,intended_content,regeneration_strategy
Figure 1,a,manuscripts/20260713T163237_v02/assets/figures/F1.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Low/high-ploidy segmentation and classifier validation montage,Rebuild from the rerun 90-frame validation release and original TIFF channels using the same selected frame identities.
Figure 1,b,manuscripts/20260713T163237_v02/assets/figures/F1.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Median segmented cell area across starting glucose and ploidy,Derive replicate-level medians directly from the resegmentation area summary object.
Figure 1,c,manuscripts/20260713T163237_v02/assets/figures/F1.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Cell-area versus nuclear-area high-to-low ploidy ratios,Derive condition-level empirical ratios directly from replicate-level cell and nuclear area summaries.
Figure 1,d,manuscripts/20260713T163237_v02/assets/figures/F1.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Cell and nuclear area ratios versus ploidy ratio,Derive empirical line medians and interquartile intervals from the resegmentation area summary object.
Figure 1,e,manuscripts/20260713T163237_v02/assets/figures/F1.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Live-cell trajectories for the four non-fusion lines,Derive replicate trajectories and medians directly from the canonical all-line Stan data object.
Figure 1,f,manuscripts/20260713T163237_v02/assets/figures/F1.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Extracellular-glucose trajectories for the four non-fusion lines,Convert luminescence directly with the fixed calibration fields in the canonical all-line Stan data object.
Figure S1,a,manuscripts/20260713T163237_v02/assets/figures/S1.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,All-line live dead and extracellular-glucose trajectory atlas,Derive all panels directly from the canonical all-line Stan data object.
Figure S2,a,manuscripts/20260713T163237_v02/assets/figures/S2.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Manual alive points versus mapped alive objects,Rebuild from frame_summary.csv in the rerun validation release.
Figure S2,b,manuscripts/20260713T163237_v02/assets/figures/S2.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Object-level classifier validation metrics,Rebuild from object_metrics.csv in the rerun validation release.
Figure S2,c,manuscripts/20260713T163237_v02/assets/figures/S2.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Count and glucose measurement coverage,Derive directly from observation indices in the canonical all-line Stan data object.
Figure S2,d,manuscripts/20260713T163237_v02/assets/figures/S2.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Glucose censoring by condition,Derive directly from is_censored and observation indices in the canonical all-line Stan data object.
Figure S2,e,manuscripts/20260713T163237_v02/assets/figures/S2.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Glucose calibration standards and fixed fits,Derive directly from calibration fields in the canonical all-line Stan data object.
Figure S2,f,manuscripts/20260713T163237_v02/assets/figures/S2.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Glucose calibration residuals,Derive directly from calibration fields in the canonical all-line Stan data object.
Figure S2,g,manuscripts/20260713T163237_v02/assets/figures/S2.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Glucose calibration fit error by batch,Derive directly from calibration fields in the canonical all-line Stan data object.
Figure 2,a,manuscripts/20260713T163237_v02/assets/figures/F2.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,No-fusion direct-feature ploidy effects on a within-feature scale,Rebuild from ploidy_effects in the canonical model-free feature object.
Figure 2,b,manuscripts/20260713T163237_v02/assets/figures/F2.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Representative trajectory with direct-feature construction annotations,Rebuild from canonical Stan counts and matching condition features.
Figure 2,c,manuscripts/20260713T163237_v02/assets/figures/F2.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,Representative-line direct-feature construction across glucose,Rebuild from condition_features in the canonical model-free feature object.
Figure S3,a,manuscripts/20260713T163237_v02/assets/figures/S3.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,All-line raw feature pairs by ploidy,Rebuild from line_ploidy_features in the canonical model-free feature object.
Figure S4,a,manuscripts/20260713T163237_v02/assets/figures/S4.png,manuscript_figures/20260722T141236_resegmentation_fix/scripts/polish_figures.R,All-line condition-level direct-feature construction,Rebuild from condition_features in the canonical model-free feature object.
