context,assay,image_key,ploidy_state,G0_mM,hours,position,n_cells,image_median_bg_z,pair_id
C00 fuse,C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C2_2_01d16h00m,low,0.1,40,2,203,0.835604496928792,C00 fuse|0.1|40|2
C00 fuse,C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C3_2_01d16h00m,low,0.5,40,2,331,0.699496890229545,C00 fuse|0.5|40|2
C00 fuse,C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C4_2_01d16h00m,low,1,40,2,321,0.626897784100209,C00 fuse|1|40|2
C00 fuse,C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C7_2_01d16h00m,high,0.1,40,2,159,0.574295787836929,C00 fuse|0.1|40|2
C00 fuse,C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C8_2_01d16h00m,high,0.5,40,2,383,0.623922285249279,C00 fuse|0.5|40|2
C00 fuse,C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C9_2_01d16h00m,high,1,40,2,586,0.462097342156023,C00 fuse|1|40|2
C00 fuse,C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F2_3_01d16h00m,low,0.1,40,3,260,0.728564632717049,C00 fuse|0.1|40|3
C00 fuse,C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F3_3_01d16h00m,low,0.5,40,3,316,0.719235957335227,C00 fuse|0.5|40|3
C00 fuse,C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F4_3_01d16h00m,low,1,40,3,459,0.655277438956692,C00 fuse|1|40|3
C00 fuse,C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F7_3_01d16h00m,high,0.1,40,3,286,0.502323099598271,C00 fuse|0.1|40|3
C00 fuse,C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F8_3_01d16h00m,high,0.5,40,3,378,0.358236661523493,C00 fuse|0.5|40|3
C00 fuse,C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F9_3_01d16h00m,high,1,40,3,413,0.429925314674934,C00 fuse|1|40|3
