context,G0_mM,hours,pair_id,low,high,high_minus_low_bg_z
C00 fuse,0.1,40,C00 fuse|0.1|40|2,0.835604496928792,0.574295787836929,-0.261308709091863
C00 fuse,0.1,40,C00 fuse|0.1|40|3,0.728564632717049,0.502323099598271,-0.226241533118778
C00 fuse,0.5,40,C00 fuse|0.5|40|2,0.699496890229545,0.623922285249279,-0.075574604980266
C00 fuse,0.5,40,C00 fuse|0.5|40|3,0.719235957335227,0.358236661523493,-0.360999295811734
C00 fuse,1,40,C00 fuse|1|40|2,0.626897784100209,0.462097342156023,-0.164800441944186
C00 fuse,1,40,C00 fuse|1|40|3,0.655277438956692,0.429925314674934,-0.225352124281757
I00 fuse,0.1,32,I00 fuse|0.1|32|2,0.705059349467157,0.497119977877198,-0.207939371589959
I00 fuse,0.1,32,I00 fuse|0.1|32|3,0.849037042580064,0.487908942497848,-0.361128100082217
I00 fuse,0.25,32,I00 fuse|0.25|32|2,0.650557344473343,0.380295979286354,-0.270261365186989
I00 fuse,0.25,32,I00 fuse|0.25|32|3,0.499443446966465,0.425729461040761,-0.0737139859257043
I00 fuse,0.5,32,I00 fuse|0.5|32|2,0.568183449970967,0.484541622612539,-0.0836418273584272
I00 fuse,0.5,32,I00 fuse|0.5|32|3,0.688709519669301,0.396619244346484,-0.292090275322816
I00 fuse,1,32,I00 fuse|1|32|2,0.731775081758932,0.377860176243154,-0.353914905515778
I00 fuse,1,32,I00 fuse|1|32|3,0.726930242188851,0.435871157178705,-0.291059085010146
M00b chem,0.1,32,M00b chem|0.1|32|2,0.573699663993932,0.665301883991728,0.0916022199977968
M00b chem,0.1,32,M00b chem|0.1|32|3,0.362273923345229,0.57056582343897,0.20829190009374
M00b chem,0.25,32,M00b chem|0.25|32|2,0.720378223701756,0.719481293331816,-0.000896930369940541
M00b chem,0.25,32,M00b chem|0.25|32|3,0.490717316585528,0.707074684878948,0.21635736829342
M00b chem,0.5,32,M00b chem|0.5|32|2,0.451152852984787,0.655965250072551,0.204812397087765
M00b chem,0.5,32,M00b chem|0.5|32|3,0.453538445364015,0.777427306745248,0.323888861381232
M00b chem,1,32,M00b chem|1|32|2,0.62566880146042,0.70119827488961,0.0755294734291901
M00b chem,1,32,M00b chem|1|32|3,0.438594267474379,0.607532155174908,0.16893788770053
J00 mixture,0.1,32,SUM159_J00_Competition_G4_3_01d08h00m,0.733627680074716,0.463481546133604,-0.270146133941112
J00 mixture,0.1,32,SUM159_J00_Competition_G5_2_01d08h00m,0.377587660462834,0.267700509699038,-0.109887150763796
J00 mixture,0.1,40,SUM159_J00_Competition_F5_3_01d16h00m,0.585843836723192,0.418236701295591,-0.1676071354276
J00 mixture,0.1,40,SUM159_J00_Competition_G5_4_01d16h00m,0.845305726179424,0.533643250692541,-0.311662475486883
J00 mixture,0.25,32,SUM159_J00_Competition_F7_1_01d08h00m,0.620940963925469,0.478071144058817,-0.142869819866652
J00 mixture,0.25,32,SUM159_J00_Competition_F7_3_01d08h00m,0.708342440634913,0.498410485354442,-0.209931955280472
J00 mixture,0.5,32,SUM159_J00_Competition_F8_3_01d08h00m,0.593786080891377,0.425618916697156,-0.168167164194221
J00 mixture,0.5,32,SUM159_J00_Competition_F9_4_01d08h00m,0.805857274011704,0.460712626536125,-0.345144647475579
J00 mixture,0.5,40,SUM159_J00_Competition_F8_4_01d16h00m,0.581267783671807,0.410497516174347,-0.170770267497461
J00 mixture,0.5,40,SUM159_J00_Competition_F9_2_01d16h00m,0.607579105054899,0.375689036119528,-0.231890068935372
J00 mixture,1,32,SUM159_J00_Competition_G10_1_01d08h00m,0.665494192920535,0.327060951731552,-0.338433241188983
J00 mixture,1,32,SUM159_J00_Competition_G11_1_01d08h00m,0.685742559023867,0.476112213536467,-0.2096303454874
J00 mixture,1,40,SUM159_J00_Competition_F11_1_01d16h00m,0.655515343824893,0.371375992040451,-0.284139351784442
J00 mixture,1,40,SUM159_J00_Competition_G11_2_01d16h00m,0.591667020364087,0.415662876997528,-0.176004143366559
