assay,image_key,ploidy,G0_mM,hours,well,position,red_path,cell_mask_path,nuclear_mask_path,sampling_role,n_measured,n_measured_low,n_measured_high
C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C2_2_01d16h00m,2N,0.1,40,C2,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_alive_C2_2_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/cell/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C2_2_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/nuclear/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C2_2_01d16h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,203,203,0
C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C7_2_01d16h00m,4N,0.1,40,C7,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_alive_C7_2_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/cell/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C7_2_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/nuclear/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C7_2_01d16h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,159,0,159
C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F2_3_01d16h00m,2N,0.1,40,F2,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_alive_F2_3_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/cell/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F2_3_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/nuclear/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F2_3_01d16h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,260,260,0
C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F7_3_01d16h00m,4N,0.1,40,F7,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_alive_F7_3_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/cell/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F7_3_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/nuclear/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F7_3_01d16h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,286,0,286
C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C3_2_01d16h00m,2N,0.5,40,C3,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_alive_C3_2_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/cell/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C3_2_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/nuclear/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C3_2_01d16h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,331,331,0
C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C8_2_01d16h00m,4N,0.5,40,C8,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_alive_C8_2_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/cell/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C8_2_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/nuclear/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C8_2_01d16h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,383,0,383
C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F3_3_01d16h00m,2N,0.5,40,F3,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_alive_F3_3_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/cell/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F3_3_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_001/masks/nuclear/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F3_3_01d16h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,316,316,0
C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F8_3_01d16h00m,4N,0.5,40,F8,3,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_alive_F8_3_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/cell/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F8_3_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_003/masks/nuclear/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_F8_3_01d16h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,378,0,378
C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C4_2_01d16h00m,2N,1,40,C4,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_alive_C4_2_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/cell/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C4_2_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_002/masks/nuclear/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C4_2_01d16h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,321,321,0
C00 monoculture,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C9_2_01d16h00m,4N,1,40,C9,2,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/all_raw/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_alive_C9_2_01d16h00m.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/cell/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C9_2_01d16h00m_cell_masks.tif,/share/lab_crd/lab_crd/HighPloidy_CostBenefits/data/GlucoseStarvation/data/image_processing_runs/sum159_targeted_nuclear_area/run_20260721_114700/shards/shard_000/masks/nuclear/SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C9_2_01d16h00m_nuclear_masks.tif,all maintained targeted fields meeting criteria,586,0,586
