G0_mM,context,ploidy_state,median_cell_area_px,median_nuclear_area_px,n_cells,n_images,G0_label,row_label,chem_cell_area_px,chem_nuclear_area_px,cell_ratio_to_chem_2n,nuclear_ratio_to_chem_2n,context_label
0,I00 fuse,low,1319,156,11201,64,0,SUM-159-fuse I00 — Low / 2N,734.5,125,1.79577944179714,1.248,SUM-159-fuse I00
0,M00b chem,low,734.5,125,3192,64,0,SUM-159-chem M00b — Low / 2N,734.5,125,1,1,SUM-159-chem M00b
0,J00 mixture,low,1083,156,3917,64,0,Mixture GFP-defined — Low / 2N,734.5,125,1.47447243022464,1.248,Mixture GFP-defined
0.1,C00 fuse,low,1664,182,19803,96,0.10,SUM-159-fuse C00 — Low / 2N,1058,163,1.57277882797732,1.11656441717791,SUM-159-fuse C00
0.1,I00 fuse,low,1589,173,17171,64,0.10,SUM-159-fuse I00 — Low / 2N,1058,163,1.50189035916824,1.06134969325153,SUM-159-fuse I00
0.1,M00b chem,low,1058,163,4922,64,0.10,SUM-159-chem M00b — Low / 2N,1058,163,1,1,SUM-159-chem M00b
0.1,J00 mixture,low,1465,169,9247,64,0.10,Mixture GFP-defined — Low / 2N,1058,163,1.38468809073724,1.03680981595092,Mixture GFP-defined
0.25,I00 fuse,low,1721,189,19607,64,0.25,SUM-159-fuse I00 — Low / 2N,1112,156,1.5476618705036,1.21153846153846,SUM-159-fuse I00
0.25,M00b chem,low,1112,156,7769,64,0.25,SUM-159-chem M00b — Low / 2N,1112,156,1,1,SUM-159-chem M00b
0.25,J00 mixture,low,1578,185,10989,64,0.25,Mixture GFP-defined — Low / 2N,1112,156,1.41906474820144,1.18589743589744,Mixture GFP-defined
0.5,C00 fuse,low,2019,220,27563,96,0.50,SUM-159-fuse C00 — Low / 2N,1136,157,1.77728873239437,1.40127388535032,SUM-159-fuse C00
0.5,I00 fuse,low,1764,202,24570,64,0.50,SUM-159-fuse I00 — Low / 2N,1136,157,1.55281690140845,1.28662420382166,SUM-159-fuse I00
0.5,M00b chem,low,1136,157,10473,64,0.50,SUM-159-chem M00b — Low / 2N,1136,157,1,1,SUM-159-chem M00b
0.5,J00 mixture,low,1596,198,12102,64,0.50,Mixture GFP-defined — Low / 2N,1136,157,1.40492957746479,1.26114649681529,Mixture GFP-defined
1,C00 fuse,low,1952,227,33301,96,1.00,SUM-159-fuse C00 — Low / 2N,1066,154,1.83114446529081,1.47402597402597,SUM-159-fuse C00
1,I00 fuse,low,1701,202,26598,64,1.00,SUM-159-fuse I00 — Low / 2N,1066,154,1.59568480300188,1.31168831168831,SUM-159-fuse I00
1,M00b chem,low,1066,154,12064,64,1.00,SUM-159-chem M00b — Low / 2N,1066,154,1,1,SUM-159-chem M00b
1,J00 mixture,low,1571,200,14016,64,1.00,Mixture GFP-defined — Low / 2N,1066,154,1.47373358348968,1.2987012987013,Mixture GFP-defined
5,C00 fuse,low,1788,216,35757,96,5.00,SUM-159-fuse C00 — Low / 2N,1116,165,1.60215053763441,1.30909090909091,SUM-159-fuse C00
5,M00b chem,low,1116,165,8402,64,5.00,SUM-159-chem M00b — Low / 2N,1116,165,1,1,SUM-159-chem M00b
25,C00 fuse,low,1809,219,31886,96,25.00,SUM-159-fuse C00 — Low / 2N,1128,165,1.60372340425532,1.32727272727273,SUM-159-fuse C00
25,M00b chem,low,1128,165,8517,64,25.00,SUM-159-chem M00b — Low / 2N,1128,165,1,1,SUM-159-chem M00b
