context,assay,G0_mM,hours,pair_id,n_shared_size_deciles,size_standardized_high_minus_low
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|2,9,-0.362183845512184
C00 fuse,C00 monoculture,0.1,40,C00 fuse|0.1|40|3,9,-0.314013142314453
C00 fuse,C00 monoculture,0.5,40,C00 fuse|0.5|40|2,10,-0.337980061377056
C00 fuse,C00 monoculture,0.5,40,C00 fuse|0.5|40|3,10,-0.469884550460416
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|2,10,-0.309523622446947
C00 fuse,C00 monoculture,1,40,C00 fuse|1|40|3,10,-0.239205870098844
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|2,9,-0.194475496077995
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|3,10,-0.382356116430886
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|2,10,-0.332157862122911
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|3,9,-0.0620316904104047
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|2,10,-0.139607593154939
I00 fuse,I00 monoculture,0.5,32,I00 fuse|0.5|32|3,10,-0.33554129984031
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|2,10,-0.363552910304476
I00 fuse,I00 monoculture,1,32,I00 fuse|1|32|3,10,-0.369697245741257
M00b chem,M00b monoculture,0.1,32,M00b chem|0.1|32|2,2,0.424794785372569
M00b chem,M00b monoculture,0.25,32,M00b chem|0.25|32|2,5,0.236172958949438
M00b chem,M00b monoculture,0.25,32,M00b chem|0.25|32|3,1,0.424961164826195
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|2,6,0.372844378604454
M00b chem,M00b monoculture,0.5,32,M00b chem|0.5|32|3,6,0.603445335548415
M00b chem,M00b monoculture,1,32,M00b chem|1|32|2,7,0.184674085331019
M00b chem,M00b monoculture,1,32,M00b chem|1|32|3,5,0.37800111451921
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G4_3_01d08h00m,6,-0.206164085049257
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G5_2_01d08h00m,9,-0.150008694655048
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_F5_3_01d16h00m,9,-0.139122726662893
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_G5_4_01d16h00m,5,-0.282114905925214
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_1_01d08h00m,10,-0.151385132283964
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_3_01d08h00m,9,-0.226256588039131
J00 mixture,J00 mixture,0.5,32,SUM159_J00_Competition_F8_3_01d08h00m,4,-0.301324982388008
J00 mixture,J00 mixture,0.5,32,SUM159_J00_Competition_F9_4_01d08h00m,4,-0.344972405063864
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F8_4_01d16h00m,9,-0.25348012274937
J00 mixture,J00 mixture,0.5,40,SUM159_J00_Competition_F9_2_01d16h00m,10,-0.244068831784679
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G10_1_01d08h00m,9,-0.340548252777242
J00 mixture,J00 mixture,1,32,SUM159_J00_Competition_G11_1_01d08h00m,9,-0.220314651640062
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_F11_1_01d16h00m,10,-0.315164239438916
J00 mixture,J00 mixture,1,40,SUM159_J00_Competition_G11_2_01d16h00m,9,-0.219626036320745
