context,G0_mM,hours,image_key,ploidy_state,n_group_cells,median_cell_area_px,median_nuclear_area_px,field_cell_count,field_total_segmented_area_px,context_label,G0_label
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_B2_1_01d00h00m,low,198,1603.5,171,198,353169,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_B2_2_01d00h00m,low,171,1489,167,171,270720,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_B2_3_01d00h00m,low,163,1630,181,163,278083,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_B2_4_01d00h00m,low,149,1564,181,149,262205,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_B7_1_01d00h00m,high,220,1530,197,220,349524,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_B7_2_01d00h00m,high,170,1671.5,210.5,170,288414,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_B7_3_01d00h00m,high,146,1516.5,212,146,235363,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_B7_4_01d00h00m,high,128,1564,205,128,209842,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C2_1_01d00h00m,low,239,1590,175,239,405678,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C2_2_01d00h00m,low,198,1584.5,174,198,341450,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C2_3_01d00h00m,low,209,1531,171,209,341855,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C2_4_01d00h00m,low,176,1601.5,164.5,176,302234,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C7_1_01d00h00m,high,221,1466,203,221,346236,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C7_2_01d00h00m,high,192,1491,186.5,192,317999,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C7_3_01d00h00m,high,229,1537,197,229,376002,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_C7_4_01d00h00m,high,162,1557.5,201.5,162,267206,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_D2_1_01d00h00m,low,210,1596,169,210,369163,SUM-159-fuse C00,0.1 mM
C00 fuse,0.1,24,SUM-159_C00-IncucyteRawDataLiveDead-varyGlucose_D2_2_01d00h00m,low,173,1576,163,173,296753,SUM-159-fuse C00,0.1 mM
