G0_mM,context,ploidy_state,median_cell_area_px,median_nuclear_area_px,chem_cell_area_px,chem_nuclear_area_px,cell_ratio_to_chem_2n,nuclear_ratio_to_chem_2n,context_label,G0_label
0.1,C00 fuse,low,1664,182,1058,163,1.57277882797732,1.11656441717791,SUM-159-fuse C00,0.1 mM
0.1,I00 fuse,low,1589,173,1058,163,1.50189035916824,1.06134969325153,SUM-159-fuse I00,0.1 mM
0.1,M00b chem,low,1058,163,1058,163,1,1,SUM-159-chem M00b,0.1 mM
0.1,J00 mixture,low,1465,169,1058,163,1.38468809073724,1.03680981595092,Mixture GFP-defined,0.1 mM
0.5,C00 fuse,low,2019,220,1136,157,1.77728873239437,1.40127388535032,SUM-159-fuse C00,0.5 mM
0.5,I00 fuse,low,1764,202,1136,157,1.55281690140845,1.28662420382166,SUM-159-fuse I00,0.5 mM
0.5,M00b chem,low,1136,157,1136,157,1,1,SUM-159-chem M00b,0.5 mM
0.5,J00 mixture,low,1596,198,1136,157,1.40492957746479,1.26114649681529,Mixture GFP-defined,0.5 mM
1,C00 fuse,low,1952,227,1066,154,1.83114446529081,1.47402597402597,SUM-159-fuse C00,1 mM
1,I00 fuse,low,1701,202,1066,154,1.59568480300188,1.31168831168831,SUM-159-fuse I00,1 mM
1,M00b chem,low,1066,154,1066,154,1,1,SUM-159-chem M00b,1 mM
1,J00 mixture,low,1571,200,1066,154,1.47373358348968,1.2987012987013,Mixture GFP-defined,1 mM
